报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,1072436.88,1801097.82,1988413.73,1662007.58,2701908.91,2066762.18,1550506.85,2217420.7,2600080.06,3299289.52,3404335.59,3049978.95,4277523.47,4081458.66,4324528.43,6126157.8,6438358.47,6140863.45,6471986.87,7215856.59,7984618.46,7824082.24,6985921.22,6084642.59,7303538.84,9083858.75,7240159.43,8909763.95,8804529.76,9364154.08,8927839.83,8794862.41,7145207.37,7417723.89,6798719.62,7267266.62,7973165.77,8001302.82,8603201.87,10594979.14,11221136.99,10813717.28,11181901.21,12161111.98,12741984.85,11741628.95,10043556.77,12377137.64,10986692.03
交易性金融资产,44861.45,10599.27,24015.34,21944.27,60204.52,44658.02,28003.68,27480.34,18905.53,32866.54,15507.73,7691.37,15425.93,8733.57,26654.45,84389.23,63674.68,119303.55,79245.58,75903.78,86410.31,77598.86,2916.23,4283.98,3338.75,2368.98,12030.78,1790.65,41404.44,39300.6,229007.46,17926.35,28606.91,35904.71,32398.76,122110.36,219788.76,234404.44,216007.43,155975.32,173345.2,154059.16,52505.86,479519.15,614013.48,694399.0,2702754.67,2656195.84,2841408.08
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6430954.91,7483914.3,6216962.39,6704521.06,6109024.35,7020990.4
应收票据,647545.05,608621.08,478897.81,1175935.69,1213018.4,1391352.1,996072.28,1257285.73,607667.19,1488765.39,950521.91,1642857.44,1619739.4,1784792.4,2257264.17,2830329.28,2941848.58,2586073.34,3391539.76,4014926.5,4298678.75,3227363.15,3426477.31,2494271.84,2390217.09,2235953.54,2316777.38,2923884.53,3125685.6,2578944.97,2420126.64,3114424.3,3113131.56,2580774.5,2556261.67,3627396.88,2798440.08,1852388.43,2286960.38,3003846.34,2756042.8,2335186.67,1718438.71,2964174.2,3063899.19,2271867.62,2477774.02,2096043.74,2201017.84
应收账款,266430.0,383875.83,351635.77,419656.09,422954.75,476221.31,481147.41,285989.22,333928.49,412182.18,488403.63,406681.63,539835.79,613512.5,626566.96,348226.88,765445.36,517174.6,581891.49,1197041.45,1540235.24,1540658.97,1710773.03,1542785.32,2079357.02,2048003.4,2136164.67,1924428.92,2556488.73,2278602.27,2281295.84,2069609.73,2506330.15,2688699.88,2959049.27,2933237.1,3607980.91,3417334.29,3804880.28,3066174.11,3900736.37,3898135.75,4356785.29,3466780.71,4420015.11,3945094.78,4226747.03,4012980.61,4819972.55
预付款项,111787.23,107351.04,174463.5,166503.9,147109.24,197191.7,256015.43,220590.45,399014.05,436036.67,455389.92,468137.75,579352.14,390756.14,245684.12,1081142.47,601667.84,668392.34,1022700.7,1274798.25,859621.24,918222.24,1085442.51,1997760.14,2143195.05,1116273.51,1795065.85,3204637.51,2622937.49,1035558.94,1181287.89,2129837.49,869151.63,678547.94,665787.81,1338865.17,853512.05,869749.95,870897.16,2052965.8,853984.0,952117.48,827488.48,2983519.5,2894967.47,1851974.15,1151028.54,1869377.3,2609380.54
应收利息,3643.68,5033.16,8321.34,9579.66,6275.41,6679.16,7419.57,5734.55,7101.7,19491.68,26466.19,6893.95,9386.92,17302.29,16187.38,10833.5,7150.2,317.12,3554.68,5047.74,1507.92,1762.25,3541.39,5209.72,1451.54,8253.6,5574.59,23445.03,15630.14,10220.8,14084.56,22243.73,43197.26,43962.48,38993.73,38204.35,40554.66,23580.57,24471.48,33066.19,66146.78,31967.86,24931.26,43614.68,57874.7,67740.24,68773.89,84587.59,94167.67
应收股利,0.0,0.0,0.0,221162.35,221162.35,110791.42,93921.83,171772.58,131468.0,124245.24,56685.74,255699.03,8204.17,158013.26,116214.03,0.0,0.0,314555.28,314555.28,28420.54,16109.37,129851.76,115663.67,598637.72,588060.23,125365.48,61964.09,81763.86,63807.54,404745.83,88069.74,118528.02,120955.8,1431059.46,380749.96,159785.7,168032.14,633892.48,170991.15,162299.18,160948.42,907697.0,69478.71,176112.68,180551.42,858411.45,123016.3,168407.75,1903999.11
其他应收款,109179.74,100138.05,86380.03,77031.54,85181.45,289245.37,149451.36,43874.14,56611.16,66876.62,59350.18,48435.42,43163.68,37132.3,65574.3,52827.56,110060.23,88907.1,189014.38,131257.89,181892.66,205955.02,182167.18,390335.87,317776.4,207895.81,215829.92,249396.65,357481.33,286016.53,444374.26,272997.09,385750.51,404287.93,377155.97,508090.01,610225.9,472728.86,544157.36,696073.65,655491.58,646378.27,594959.66,921420.25,831034.95,1222171.61,1552117.14,1356872.21,0.0
