报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,73281.34,415374.36,1152466.43,340452.79,670118.91,1033313.07,1887290.86,256165.12,1134924.53,2107011.14,3385363.96,1287855.26,2483890.36,3803636.06
收到的税费返还,416.55,67.01,147.64,1323.64,631.5,1859.0,2101.32,13660.09,14517.85,30132.56,3712.77,29.94,10926.99,16329.89
收到的其他与经营活动有关的现金,1134.52,22117.35,42152.25,36250.54,23636.93,43876.53,52917.68,21151.47,56029.96,70492.07,227438.34,42149.84,78151.68,177483.69
经营活动现金流入小计,74832.42,437558.72,1194766.33,378026.97,694387.34,1079048.61,1942309.86,290976.68,1205472.35,2207635.78,3616515.07,1330035.04,2572969.03,3997449.63
购买商品、接受劳务支付的现金,60100.92,230213.25,595491.73,272223.53,568081.92,933984.42,1235759.23,489997.12,874002.79,1258830.0,1904161.46,622193.8,1370089.13,2304608.38
支付给职工以及为职工支付的现金,9841.91,43755.43,124967.2,36985.28,95474.01,144794.01,212263.74,45166.17,97657.02,155432.04,229996.15,74869.34,175289.4,261121.23
支付的各项税费,2868.92,47455.42,155989.13,23887.08,54434.47,97352.84,149329.67,33909.89,67145.62,126980.07,186808.17,70106.93,165507.91,233247.6
支付的其他与经营活动有关的现金,15911.11,49681.21,107405.6,25557.73,38361.36,76253.8,110882.4,48886.95,60834.3,106050.61,163922.71,65179.84,134452.3,165979.47
经营活动现金流出小计,88722.86,371105.32,983853.66,358653.61,756351.75,1252385.06,1708235.04,617960.13,1099639.74,1647292.71,2484888.5,832349.92,1845338.73,2964956.68
经营活动产生的现金流量净额,-13890.44,66453.4,210912.67,19373.36,-61964.41,-173336.46,234074.82,-326983.45,105832.61,560343.07,1131626.57,497685.12,727630.29,1032492.95
收回投资所收到的现金,0.0,0.0,1002.7,0.0,44550.2,44730.2,44800.2,0.0,0.0,0.0,525.86,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,112.29,256.51,256.51,0.0,320.69,366.09,365.57,0.0,0.0,256.31
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,504.62,0.0,57.29,57.29,57.29,0.0,0.0,0.0,29.45,0.0,0.0,1421.07
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,318.02,108856.67,6194.5,5161.56,19880.64,190284.66,75883.13,422020.92,21676.72,39778.63,7062.95,1460.54,265781.88,1517845.3
投资活动现金流入小计,318.02,108856.67,7701.81,5161.56,64600.43,235328.66,120997.14,422020.92,21997.41,40144.72,7983.83,1460.54,265781.88,1519522.68
购建固定资产、无形资产和其他长期资产所支付的现金,30052.52,155378.66,280081.89,245910.75,397874.74,526877.18,718028.11,166761.16,250644.64,400352.67,662927.47,201986.43,462311.29,666147.79
投资所支付的现金,0.0,0.0,26282.87,21920.4,65193.25,129352.58,166550.33,0.0,10384.2,18872.67,19202.59,7525.0,9075.0,32175.0
取得子公司及其他营业单位支付的现金净额,0.0,17322.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,97606.17,290.0,944178.48,150113.8,153432.1,3380.14,0.07,15192.58,657344.94,1055601.4,1274621.09,62649.56,0.0,93215.66
投资活动现金流出小计,127658.69,172991.19,1250543.23,417944.95,616500.09,659609.9,884578.51,181953.75,918373.78,1474826.74,1956751.15,272160.99,471386.29,791538.45
投资活动产生的现金流量净额,-127340.67,-64134.53,-1242841.42,-412783.39,-551899.66,-424281.24,-763581.37,240067.18,-896376.36,-1434682.02,-1948767.32,-270700.44,-205604.41,727984.23
吸收投资收到的现金,2440.0,15050.38,1113184.55,351000.0,508350.09,617561.19,617864.6,1918.61,542959.19,631442.75,627495.59,44100.0,44188.0,94304.05
其中：子公司吸收少数股东投资收到的现金,2440.0,50.0,784.0,0.0,7350.0,116864.51,116864.51,1918.61,6765.06,10878.52,10878.52,44100.0,44188.0,44723.0
取得借款收到的现金,20163.51,83086.77,193065.43,41391.0,151591.2,256024.69,447676.93,99773.84,268358.67,309838.81,412319.63,27402.54,135436.95,305846.32
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,155656.19,89337.13,74735.16,6630.88,0.0,262.64,902.89,2069.51,0.0,0.0,51028.25,0.0,0.0,0.0
筹资活动现金流入小计,178259.71,187474.27,1380985.14,399021.89,659941.29,873848.51,1066444.42,103761.96,811317.86,941281.56,1090843.47,71502.54,179624.95,400150.37
偿还债务支付的现金,476.0,62864.18,93731.23,96979.75,110977.62,136756.22,142162.84,105256.96,168844.59,228212.94,349372.18,27949.32,122298.8,169304.84
分配股利、利润或偿付利息所支付的现金,475.28,6949.69,5369.68,1286.12,2577.74,5867.33,8160.02,4297.36,9378.25,15408.11,21611.95,6176.0,12118.34,49232.07
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,30757.4,73669.93,184782.03,7533.1,18440.41,19265.14,22848.19,6647.1,11471.62,18581.53,15587.74,2467.0,4586.28,6260.19
筹资活动现金流出小计,31708.69,143483.8,283882.94,105798.96,131995.77,161888.68,173171.05,116201.41,189694.47,262202.58,386571.88,36592.31,139003.42,224797.1
筹资活动产生的现金流量净额,146551.02,43990.47,1097102.2,293222.93,527945.52,711959.83,893273.36,-12439.45,621623.39,679078.98,704271.59,34910.23,40621.53,175353.27
四、汇率变动对现金及现金等价物的影响,-499.54,-80.05,-207.74,-35.2,290.89,305.43,-1376.37,-1318.42,581.58,2498.24,2744.08,-2272.04,1571.81,2366.11
五、现金及现金等价物净增加额,4820.38,46229.29,64965.7,-100222.31,-85627.66,114647.56,362390.45,-100674.14,-168338.79,-192761.73,-110125.08,259622.86,564219.23,1938196.56
加:期初现金及现金等价物余额,584.72,5405.1,51634.39,116600.1,116600.1,116600.1,116600.1,478990.54,478990.54,478990.54,478990.54,368865.46,368865.46,368865.46
六、期末现金及现金等价物余额,5405.1,51634.39,116600.1,16377.79,30972.43,231247.66,478990.54,378316.4,310651.76,286228.81,368865.46,628488.33,933084.69,2307062.02
净利润,5556.38,95058.11,291843.69,2430.22,202074.38,0.0,419405.66,46926.45,106989.37,0.0,373589.65,0.0,234649.53,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,259.11,5864.17,23385.89,-780.7,4917.72,0.0,24474.4,12771.75,20712.61,0.0,97491.22,0.0,53032.26,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,4456.97,16410.07,73141.73,28918.78,47736.03,0.0,127953.86,41868.97,93464.62,0.0,212511.02,0.0,181706.07,0.0
无形资产摊销,2265.66,2498.69,4799.88,1465.63,3148.77,0.0,7510.12,2277.46,4685.29,0.0,9573.39,0.0,5218.84,0.0
长期待摊费用摊销,6.48,323.79,507.11,193.92,595.13,0.0,2654.2,1466.63,3627.13,0.0,8337.71,0.0,7123.34,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,10.25,59.01,15820.52,32.21,227.97,0.0,7831.15,32.82,244.5,0.0,9153.9,0.0,-30.57,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.2,0.0,616.5,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31424.75,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,2422.16,11318.4,6560.93,1576.31,3431.23,0.0,11258.86,6516.64,-9744.36,0.0,26225.86,0.0,8774.41,0.0
投资损失,-1611.76,-145.54,-7608.03,-8517.22,-124598.52,0.0,-134430.53,-2797.29,-5983.89,0.0,-18439.75,0.0,-880.77,0.0
递延所得税资产减少,-1981.46,-11014.36,-12967.06,-1805.31,-6753.91,0.0,-24513.32,-7003.44,-19822.71,0.0,-66975.53,0.0,-49583.23,0.0
递延所得税负债增加,0.0,-219.43,-209.06,0.0,-99.79,0.0,-260.5,0.0,-97.33,0.0,1545.94,0.0,1740.53,0.0
存货的减少,-22036.83,-69791.59,-32016.91,-115706.7,-264168.18,0.0,-229018.15,-60614.53,-166246.65,0.0,-437131.28,0.0,-357560.46,0.0
经营性应收项目的减少,-31391.03,-231559.45,-1476213.61,96265.34,-136677.37,0.0,-507599.6,-241935.0,47431.91,0.0,-314324.43,0.0,-242630.49,0.0
经营性应付项目的增加,28153.62,247651.53,1303159.55,11644.04,208202.13,0.0,516330.0,-128479.42,26601.12,0.0,1185114.14,0.0,870639.85,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,20708.06,3656.85,0.0,0.0,12478.68,1985.51,3971.01,0.0,11951.79,0.0,14814.48,0.0
经营活动产生现金流量净额,-13890.44,66453.4,210912.67,19373.36,-61964.41,0.0,234074.82,-326983.45,105832.61,0.0,1131626.57,0.0,727630.29,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,51634.39,116600.1,16377.79,0.0,0.0,478990.54,378316.4,310651.76,0.0,368865.46,0.0,933084.69,0.0
现金的期初余额,0.0,5405.1,51634.39,116600.1,0.0,0.0,116600.1,478990.54,478990.54,0.0,478990.54,0.0,368865.46,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,46229.29,64965.7,-100222.31,0.0,0.0,362390.45,-100674.14,-168338.79,0.0,-110125.08,0.0,564219.23,0.0
