序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,10,"1,187.940",0.450
2,2017-09-30,2,"5,881.490",1.660
3,2017-06-30,28,"16,671.570",4.640
4,2017-03-31,1,"7,070.010",1.730
5,2016-12-31,20,"13,848.100",3.180
6,2016-09-30,5,"18,148.400",3.920
7,2016-06-30,13,"11,834.720",2.700
8,2016-03-31,1,"3,808.000",0.840
9,2015-12-31,15,"6,179.350",1.150
10,2015-09-30,2,"6,864.420",2.070
11,2015-06-30,25,"59,715.450",11.360
12,2015-03-31,5,"19,949.570",3.760
13,2014-12-31,14,"8,334.040",2.420
14,2014-09-30,1,"1,467.230",0.480
15,2014-06-30,6,865.300,0.420
16,2013-12-31,3,51.890,0.030
17,2013-09-30,1,"1,732.500",1.220
18,2013-06-30,6,"1,699.550",1.280
19,2013-03-31,3,"2,937.240",1.410
20,2012-12-31,3,"1,165.110",0.560
21,2012-06-30,6,"2,248.810",1.130
22,2012-03-31,4,"6,658.600",3.740
23,2011-12-31,2,"1,051.450",0.760
24,2011-09-30,1,"1,250.400",0.720
25,2011-06-30,1,"1,533.600",0.720
26,2010-09-30,1,"2,434.610",1.030
27,2010-06-30,1,"1,091.270",0.640
28,2009-12-31,1,"2,521.200",0.940
29,2009-09-30,8,"15,233.110",27.740
30,2009-06-30,3,"1,884.830",4.080
31,2009-03-31,4,"5,707.630",13.880
32,2008-12-31,8,"7,966.640",23.310
33,2008-09-30,4,"4,286.070",13.860
34,2008-06-30,2,"1,752.360",4.810
35,2008-03-31,2,"4,293.570",6.200
36,2007-12-31,5,"10,763.010",10.270
37,2007-09-30,6,"17,886.790",13.530
38,2007-06-30,19,"62,720.720",45.430
39,2007-03-31,9,"32,572.870",27.680
40,2006-12-31,55,"27,725.030",34.940
