序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,4,"8,187.690",0.580
2,2018-12-31,81,"141,392.920",11.160
3,2018-09-30,5,"46,796.880",4.130
4,2018-06-30,85,"177,464.910",13.280
5,2018-03-31,9,"103,640.060",6.760
6,2017-12-31,90,"147,830.160",8.790
7,2017-09-30,5,"16,173.770",1.030
8,2017-06-30,69,"93,452.390",6.050
9,2017-03-31,18,"89,193.740",4.490
10,2016-12-31,105,"188,688.850",9.470
11,2016-09-30,8,"39,329.170",2.350
12,2016-06-30,60,"65,566.180",3.980
13,2016-03-31,4,"38,574.240",2.360
14,2015-12-31,64,"77,656.210",3.530
15,2015-09-30,6,"35,039.330",1.970
16,2015-06-30,74,"59,685.460",1.960
17,2015-03-31,6,"11,045.450",0.500
18,2014-12-31,95,"80,339.970",4.550
19,2014-09-30,1,9.680,0.000
20,2014-06-30,59,"20,143.680",1.780
21,2014-03-31,2,772.850,0.060
22,2013-12-31,68,"52,312.420",3.570
23,2013-09-30,5,"61,641.060",3.770
24,2013-06-30,77,"95,068.670",7.470
25,2013-03-31,18,"129,044.450",7.260
26,2012-12-31,86,"180,785.370",12.730
27,2012-09-30,13,"115,478.770",7.610
28,2012-06-30,77,"201,154.260",12.790
29,2012-03-31,20,"168,790.330",8.680
30,2011-12-31,81,"368,462.750",20.410
31,2011-09-30,20,"270,006.660",12.800
32,2011-06-30,87,"459,214.240",19.980
33,2011-03-31,32,"375,919.350",14.710
34,2010-12-31,68,"433,856.650",19.280
35,2010-09-30,15,"183,124.680",9.650
36,2010-06-30,33,"65,006.050",13.120
37,2010-03-31,4,"50,095.080",7.700
38,2009-12-31,54,"203,443.130",29.170
39,2009-09-30,6,"79,070.120",15.000
40,2009-06-30,26,"92,844.910",15.810
41,2009-03-31,6,"45,955.520",8.690
42,2008-12-31,28,"45,218.270",14.900
43,2008-09-30,12,"138,093.690",30.120
44,2008-06-30,43,"258,119.160",45.970
45,2008-03-31,12,"291,285.680",33.560
46,2007-12-31,48,"540,423.520",47.940
47,2007-09-30,8,"201,409.160",19.960
48,2007-06-30,52,"538,494.400",51.750
49,2007-03-31,19,"369,249.100",42.970
50,2006-12-31,44,"317,809.650",58.440
51,2006-09-30,17,"155,451.880",45.610
52,2006-06-30,29,"104,515.440",49.780
53,2006-03-31,9,"33,482.010",32.290
54,2005-12-31,20,"33,895.620",41.250
55,2005-09-30,5,"8,204.600",10.000
56,2005-06-30,14,"25,127.920",36.470
57,2005-03-31,6,"9,557.060",17.180
58,2004-12-31,13,"13,459.640",22.900
59,2004-09-30,8,"12,248.930",22.330
60,2004-06-30,37,"9,425.120",14.580
