序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,13,"3,663.820",0.790
2,2017-09-30,1,"2,817.940",0.550
3,2017-06-30,39,"10,309.680",1.940
4,2016-12-31,16,"44,741.650",6.280
5,2016-09-30,5,"42,572.400",5.980
6,2016-06-30,45,"75,528.710",9.820
7,2016-03-31,19,"55,549.960",8.210
8,2015-12-31,59,"58,131.710",9.290
9,2015-09-30,3,"2,660.340",0.920
10,2015-06-30,22,"13,908.380",3.250
11,2015-03-31,1,866.420,0.320
12,2014-12-31,8,"2,886.040",0.940
13,2014-09-30,1,"1,339.030",0.470
14,2012-12-31,2,71.290,0.130
15,2012-09-30,1,483.770,0.850
16,2012-06-30,3,474.480,0.650
17,2011-12-31,2,447.130,0.780
18,2011-03-31,2,"4,617.600",8.330
