序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,13,467.590,0.060
2,2018-06-30,8,316.300,0.050
3,2017-12-31,9,"2,730.870",0.360
4,2017-09-30,1,"6,165.890",1.050
5,2017-06-30,10,"9,299.160",1.420
6,2017-03-31,1,"10,294.420",1.400
7,2016-12-31,14,"28,322.850",3.070
8,2016-09-30,6,"30,321.950",2.550
9,2016-06-30,20,"51,342.250",4.150
10,2016-03-31,3,"17,808.480",2.440
11,2015-12-31,16,"31,331.070",3.530
12,2015-09-30,2,"11,008.270",2.720
13,2015-06-30,21,"62,042.740",8.010
14,2015-03-31,3,"56,919.540",7.890
15,2014-12-31,11,"18,312.630",3.840
16,2014-09-30,3,"25,749.020",4.470
17,2014-06-30,11,"30,650.420",15.190
18,2014-03-31,1,"16,626.350",9.000
19,2013-12-31,15,"43,621.920",19.470
20,2013-09-30,3,"16,845.860",6.350
21,2013-06-30,17,"23,741.460",17.180
22,2013-03-31,6,"20,507.780",21.500
23,2012-12-31,15,"8,397.760",10.400
24,2012-09-30,5,"6,649.340",8.280
25,2012-06-30,2,"1,421.530",2.900
26,2012-03-31,1,"4,314.420",7.190
27,2011-12-31,1,0.600,0.000
28,2011-09-30,3,"4,928.140",10.650
