序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,1,"4,642.730",1.370
2,2018-12-31,2,12.520,0.000
3,2018-06-30,2,17.780,0.010
4,2017-12-31,12,860.730,0.250
5,2017-09-30,1,"1,530.000",0.360
6,2017-06-30,27,"14,501.520",3.230
7,2017-03-31,6,"21,472.130",3.850
8,2016-12-31,54,"41,371.600",7.310
9,2016-09-30,10,"27,877.560",4.670
10,2016-06-30,35,"36,677.560",6.360
11,2016-03-31,20,"40,557.190",5.980
12,2015-12-31,78,"124,227.360",15.530
13,2015-09-30,7,"16,429.830",3.960
14,2015-06-30,3,268.900,0.050
15,2015-03-31,2,"8,561.220",1.510
16,2014-12-31,4,"8,236.670",2.100
17,2014-09-30,1,"8,243.850",2.060
18,2014-06-30,5,71.420,0.030
19,2013-12-31,4,77.950,0.030
20,2013-09-30,1,"2,399.700",1.060
21,2013-06-30,5,"1,984.730",0.990
22,2013-03-31,3,"7,649.690",2.840
23,2012-12-31,8,921.380,0.490
24,2012-06-30,10,"1,598.130",0.700
25,2011-12-31,15,"4,198.840",2.390
26,2011-09-30,1,"6,924.490",2.150
27,2011-06-30,11,"12,974.540",3.730
28,2011-03-31,1,"4,741.500",1.030
29,2010-12-31,7,"7,900.690",1.730
30,2010-06-30,5,"3,981.000",2.530
31,2010-03-31,1,"1,960.840",0.950
32,2009-12-31,3,"4,024.670",2.230
33,2009-09-30,4,"9,768.200",6.870
34,2009-06-30,2,"4,872.110",4.640
35,2009-03-31,1,875.600,0.830
36,2008-12-31,1,453.380,0.930
37,2008-09-30,1,541.970,0.860
38,2008-06-30,1,957.670,1.470
39,2008-03-31,2,"8,687.730",4.910
40,2007-12-31,22,"7,487.820",3.040
41,2007-09-30,6,"11,142.440",6.710
