序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,1,"3,089.320",1.150
2,2017-12-31,21,"10,260.950",4.070
3,2017-09-30,4,"5,059.710",1.710
4,2017-06-30,37,"7,090.680",2.570
5,2017-03-31,1,"1,247.860",0.390
6,2016-12-31,14,"1,736.240",0.550
7,2016-09-30,2,"2,665.850",0.810
8,2016-06-30,64,"74,861.780",21.370
9,2016-03-31,17,"35,646.930",9.390
10,2015-12-31,56,"77,768.150",20.930
11,2015-06-30,12,"16,138.110",4.060
12,2015-03-31,1,16.890,0.010
13,2014-12-31,3,"1,535.110",0.840
14,2014-06-30,7,"5,108.370",2.790
15,2013-12-31,2,"1,642.330",1.490
16,2013-09-30,1,"1,623.520",1.620
17,2013-06-30,8,"2,537.230",3.320
18,2013-03-31,2,"1,907.930",2.300
19,2012-12-31,8,"8,715.580",11.520
20,2012-06-30,2,55.690,0.090
21,2012-03-31,1,450.780,1.430
22,2011-12-31,6,"7,589.660",19.310
23,2011-09-30,1,810.150,2.280
