序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,4,"45,377.150",2.920
2,2018-12-31,54,"45,997.800",4.170
3,2018-09-30,2,"14,184.530",1.090
4,2018-06-30,57,"40,943.220",3.370
5,2018-03-31,4,"60,698.170",3.670
6,2017-12-31,72,"92,697.110",5.050
7,2017-09-30,15,"111,556.720",5.130
8,2017-06-30,68,"133,747.970",6.280
9,2017-03-31,15,"131,915.510",5.250
10,2016-12-31,52,"124,836.830",6.430
11,2016-09-30,6,"120,284.750",5.540
12,2016-06-30,52,"114,007.560",5.750
13,2016-03-31,4,"84,600.440",4.790
14,2015-12-31,53,"115,641.260",5.410
15,2015-09-30,6,"105,429.690",5.130
16,2015-06-30,46,"176,386.450",5.220
17,2015-03-31,2,"30,814.540",1.210
18,2014-12-31,40,"43,991.060",2.410
19,2014-09-30,6,"10,737.890",0.580
20,2014-06-30,31,"7,437.270",0.820
21,2014-03-31,1,"1,194.180",0.130
22,2013-12-31,25,"5,746.790",0.590
23,2013-09-30,1,"1,286.690",0.120
24,2013-06-30,21,"5,195.890",0.590
25,2013-03-31,3,"2,570.810",0.320
26,2012-12-31,19,"3,799.710",0.620
27,2012-09-30,2,"1,703.750",0.270
28,2012-06-30,15,"3,234.760",0.550
29,2012-03-31,3,"3,199.220",1.010
30,2011-12-31,14,"3,866.040",1.410
31,2011-09-30,4,"4,378.360",1.310
32,2011-06-30,11,"5,482.280",1.220
33,2011-03-31,2,"5,800.360",1.190
34,2010-12-31,7,"11,971.910",2.080
35,2010-09-30,2,"14,610.610",2.650
36,2010-06-30,3,"2,316.580",0.700
37,2010-03-31,2,"6,737.500",1.480
38,2009-12-31,3,"2,302.280",0.520
39,2009-09-30,1,"1,348.450",0.360
40,2008-12-31,3,"6,275.800",3.440
41,2008-06-30,5,"5,991.230",3.850
42,2008-03-31,1,"7,213.820",3.870
43,2007-12-31,1,"7,213.820",3.870
44,2007-09-30,1,"7,213.820",3.870
45,2007-06-30,1,"2,848.720",3.870
46,2006-12-31,1,22.620,0.040
47,2006-09-30,2,"4,950.660",8.290
48,2006-06-30,4,"4,163.560",7.150
49,2006-03-31,2,461.640,1.880
50,2005-12-31,1,16.220,0.070
51,2005-06-30,1,14.980,0.070
52,2004-12-31,1,18.410,0.070
53,2004-06-30,1,25.080,0.070
54,2003-06-30,69,"1,350.720",3.520
