序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,4,"60,698.170",3.670
2,2017-12-31,72,"92,697.110",5.050
3,2017-09-30,15,"111,556.720",5.130
4,2017-06-30,68,"133,747.970",6.280
5,2017-03-31,15,"131,915.510",5.250
6,2016-12-31,52,"124,836.830",6.430
7,2016-09-30,6,"120,284.750",5.540
8,2016-06-30,52,"114,007.560",5.750
9,2016-03-31,4,"84,600.440",4.790
10,2015-12-31,53,"115,641.260",5.410
11,2015-09-30,6,"105,429.690",5.130
12,2015-06-30,46,"176,386.450",5.220
13,2015-03-31,2,"30,814.540",1.210
14,2014-12-31,40,"43,991.060",2.410
15,2014-09-30,6,"10,737.890",0.580
16,2014-06-30,31,"7,437.270",0.820
17,2014-03-31,1,"1,194.180",0.130
18,2013-12-31,25,"5,746.790",0.590
19,2013-09-30,1,"1,286.690",0.120
20,2013-06-30,21,"5,195.890",0.590
21,2013-03-31,3,"2,570.810",0.320
22,2012-12-31,19,"3,799.710",0.620
23,2012-09-30,2,"1,703.750",0.270
24,2012-06-30,15,"3,234.760",0.550
25,2012-03-31,3,"3,199.220",1.010
26,2011-12-31,14,"3,866.040",1.410
27,2011-09-30,4,"4,378.360",1.310
28,2011-06-30,11,"5,482.280",1.220
29,2011-03-31,2,"5,800.360",1.190
30,2010-12-31,7,"11,971.910",2.080
31,2010-09-30,2,"14,610.610",2.650
32,2010-06-30,3,"2,316.580",0.700
33,2010-03-31,2,"6,737.500",1.480
34,2009-12-31,3,"2,302.280",0.520
35,2009-09-30,1,"1,348.450",0.360
36,2008-12-31,3,"6,275.800",3.440
37,2008-06-30,5,"5,991.230",3.850
38,2008-03-31,1,"7,213.820",3.870
39,2007-12-31,1,"7,213.820",3.870
40,2007-09-30,1,"7,213.820",3.870
41,2007-06-30,1,"2,848.720",3.870
42,2006-12-31,1,22.620,0.040
43,2006-09-30,2,"4,950.660",8.290
44,2006-06-30,4,"4,163.560",7.150
45,2006-03-31,2,461.640,1.880
46,2005-12-31,1,16.220,0.070
47,2005-06-30,1,14.980,0.070
48,2004-12-31,1,18.410,0.070
49,2004-06-30,1,25.080,0.070
50,2003-06-30,69,"1,350.720",3.520
