序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,4,138.180,0.050
2,2017-06-30,10,"6,590.560",2.020
3,2017-03-31,7,"20,620.780",7.270
4,2016-12-31,40,"51,817.930",16.330
5,2016-09-30,7,"33,484.230",10.180
6,2016-06-30,39,"72,635.790",19.870
7,2015-12-31,10,"4,745.300",1.380
8,2015-09-30,4,"15,347.980",6.050
9,2015-06-30,45,"93,207.700",20.170
10,2015-03-31,9,"21,566.470",5.020
11,2014-12-31,25,"27,872.760",10.550
12,2014-09-30,11,"20,395.880",8.140
13,2014-06-30,10,"19,895.570",10.120
14,2014-03-31,4,"18,259.810",10.470
15,2013-12-31,16,"29,490.910",14.240
16,2013-09-30,2,"7,014.040",4.280
17,2013-06-30,11,"7,499.720",6.490
18,2013-03-31,4,"10,381.250",9.040
19,2012-12-31,2,6.770,0.010
20,2012-09-30,2,"3,044.030",4.840
21,2012-06-30,11,"6,281.750",8.020
22,2012-03-31,6,"12,200.200",15.360
23,2011-12-31,17,"18,454.650",19.660
24,2011-09-30,2,"7,499.240",5.770
25,2011-06-30,17,"14,504.020",8.740
26,2011-03-31,4,"13,572.470",8.090
27,2010-12-31,14,"26,564.560",25.020
28,2010-09-30,4,"19,919.970",18.570
29,2010-06-30,17,"18,970.420",19.410
30,2010-03-31,4,"5,112.330",8.230
31,2009-12-31,56,"2,868.490",
