序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,4,"1,303.070",0.240
2,2017-09-30,1,136.500,0.020
3,2017-06-30,15,"2,853.310",0.700
4,2017-03-31,1,32.030,0.010
5,2016-12-31,30,"9,400.830",2.090
6,2016-09-30,1,45.150,0.010
7,2016-06-30,21,"4,005.920",0.960
8,2015-12-31,11,"11,227.570",2.370
9,2015-09-30,1,"1,232.040",0.450
10,2015-06-30,7,"4,366.710",1.010
11,2014-12-31,1,"1,125.910",0.380
12,2014-06-30,2,477.460,0.190
13,2013-12-31,6,"7,404.380",2.790
14,2013-09-30,2,"12,710.820",4.100
15,2013-06-30,11,"10,311.730",3.560
16,2012-12-31,3,26.720,0.010
17,2012-06-30,2,33.670,0.010
18,2012-03-31,1,"3,847.850",1.480
19,2011-12-31,1,22.250,0.010
20,2011-06-30,1,"1,235.010",0.460
21,2011-03-31,1,"1,578.940",0.510
22,2010-12-31,1,"1,642.300",0.510
23,2010-09-30,1,"1,426.070",0.510
24,2010-06-30,2,483.100,0.210
25,2009-12-31,1,264.700,0.100
26,2009-09-30,2,"4,770.480",2.750
27,2009-03-31,1,588.160,0.640
28,2007-12-31,1,205.050,0.160
29,2007-06-30,1,8.760,0.010
30,2006-12-31,2,35.630,0.070
31,2006-06-30,2,97.550,0.210
32,2005-12-31,2,57.810,0.170
33,2005-06-30,3,174.300,0.500
34,2004-12-31,3,230.070,0.460
35,2004-09-30,1,110.180,0.220
36,2004-06-30,4,"1,117.360",1.930
37,2003-12-31,3,154.300,0.360
38,2002-12-31,2,876.080,1.310
39,2002-06-30,8,"3,214.450",2.940
40,2001-12-31,11,"14,647.940",10.460
41,2001-06-30,12,"22,296.300",12.470
42,2001-03-31,4,"12,036.480",6.090
43,2000-12-31,27,"50,812.330",24.510
