序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,5,92.410,0.040
2,2017-06-30,10,"2,939.110",0.850
3,2017-03-31,2,"5,346.500",1.490
4,2016-12-31,8,"2,719.570",0.660
5,2016-09-30,3,370.610,0.100
6,2016-06-30,3,62.620,0.020
7,2015-12-31,4,"4,294.890",1.030
8,2015-06-30,4,"2,025.120",0.380
9,2014-12-31,2,"1,549.780",0.650
10,2014-09-30,1,"1,448.700",0.580
11,2013-12-31,2,25.390,0.010
12,2013-06-30,6,42.190,0.020
13,2013-03-31,2,"2,156.510",0.900
14,2012-12-31,10,287.120,0.120
15,2012-06-30,8,348.530,0.120
16,2012-03-31,1,742.280,0.200
17,2011-12-31,8,213.990,0.060
18,2011-09-30,2,"1,887.130",0.450
19,2011-06-30,8,"4,627.520",0.930
20,2011-03-31,1,"2,488.200",0.650
21,2010-12-31,9,"9,219.140",2.690
22,2010-09-30,1,"1,351.970",0.430
23,2010-06-30,11,"4,790.920",1.860
24,2010-03-31,5,"28,552.820",7.000
25,2009-12-31,35,"105,464.970",21.790
26,2009-09-30,10,"54,559.740",17.130
27,2009-06-30,8,"13,001.890",3.820
28,2009-03-31,5,"8,667.500",3.120
29,2008-12-31,11,"16,547.010",9.050
30,2008-09-30,8,"23,749.470",9.640
31,2008-06-30,27,"107,883.670",27.540
32,2008-03-31,13,"184,303.120",34.330
33,2007-12-31,19,"119,571.020",25.380
34,2007-09-30,9,"91,511.840",20.250
35,2007-06-30,10,"28,031.550",9.620
36,2007-03-31,6,"26,158.040",11.840
37,2006-12-31,10,"15,809.880",12.000
38,2006-09-30,4,"11,924.830",9.290
39,2006-06-30,10,"15,087.360",10.100
40,2006-03-31,6,"4,855.730",5.070
41,2005-12-31,4,364.930,0.510
42,2005-09-30,1,299.790,0.350
43,2005-06-30,3,459.030,0.570
44,2004-12-31,3,498.440,0.610
45,2004-09-30,1,323.370,0.300
46,2004-06-30,2,353.190,0.290
47,2003-12-31,2,324.530,0.300
