序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,102,"55,005.080",7.710
2,2017-09-30,13,"29,298.130",3.350
3,2017-06-30,145,"176,673.190",18.210
4,2017-03-31,44,"110,226.780",12.720
5,2016-12-31,155,"226,273.310",25.460
6,2016-09-30,41,"134,544.030",13.940
7,2016-06-30,109,"77,333.050",9.110
8,2016-03-31,10,"16,611.640",2.030
9,2015-12-31,103,"91,326.310",8.610
10,2015-09-30,22,"60,134.470",6.100
11,2015-06-30,103,"194,491.650",15.770
12,2015-03-31,15,"139,479.510",13.160
13,2014-12-31,101,"263,405.940",33.190
14,2014-09-30,31,"238,734.020",28.200
15,2014-06-30,98,"347,713.530",45.700
16,2014-03-31,26,"211,141.560",32.070
17,2013-12-31,100,"346,641.270",49.350
18,2013-09-30,27,"340,470.560",42.330
19,2013-06-30,98,"360,153.670",53.830
20,2013-03-31,41,"371,655.870",43.960
21,2012-12-31,101,"338,663.050",53.410
22,2012-09-30,22,"186,087.710",30.960
23,2012-06-30,70,"246,312.730",44.660
24,2012-03-31,13,"139,418.130",31.820
25,2011-12-31,45,"203,461.240",47.100
26,2011-09-30,13,"130,009.100",28.080
27,2011-06-30,44,"182,812.960",38.330
28,2011-03-31,10,"91,446.980",26.250
29,2010-12-31,34,"175,942.180",43.430
30,2010-09-30,9,"81,461.150",22.710
31,2010-06-30,25,"83,568.350",34.410
32,2010-03-31,4,"14,574.360",6.720
33,2009-12-31,6,"12,404.710",6.290
34,2009-09-30,3,"6,658.500",6.800
35,2009-06-30,1,113.440,0.130
36,2009-03-31,1,928.450,1.730
37,2008-12-31,6,"1,785.310",5.350
38,2008-09-30,3,"1,086.880",3.890
39,2008-06-30,76,"4,800.100",14.510
