序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,58,"169,703.800",9.460
2,2018-12-31,269,"218,970.220",18.190
3,2018-09-30,32,"104,367.500",9.450
4,2018-06-30,243,"244,544.850",19.680
5,2018-03-31,60,"209,633.490",13.320
6,2017-12-31,199,"257,386.390",19.160
7,2017-09-30,29,"142,031.000",11.150
8,2017-06-30,153,"202,447.710",18.920
9,2017-03-31,25,"141,432.690",12.770
10,2016-12-31,154,"254,770.280",21.930
11,2016-09-30,23,"138,318.250",12.070
12,2016-06-30,169,"380,746.130",26.370
13,2016-03-31,37,"252,809.950",18.270
14,2015-12-31,152,"488,432.560",27.730
15,2015-09-30,30,"255,627.570",17.360
16,2015-06-30,100,"530,941.970",28.570
17,2015-03-31,27,"331,907.190",29.240
18,2014-12-31,75,"230,569.200",36.250
19,2014-09-30,14,"138,281.280",21.900
20,2014-06-30,54,"213,189.300",38.200
21,2014-03-31,11,"110,518.940",28.560
22,2013-12-31,43,"130,043.930",32.820
23,2013-09-30,9,"101,726.610",29.900
24,2013-06-30,25,"84,547.280",34.590
25,2013-03-31,9,"50,158.270",33.510
26,2012-12-31,43,"63,469.390",43.550
27,2012-09-30,7,"30,055.320",18.850
28,2012-06-30,14,"22,292.230",15.070
29,2012-03-31,5,"24,156.180",15.230
30,2011-12-31,14,"38,201.630",21.100
31,2011-09-30,3,"21,246.510",13.100
32,2011-06-30,10,"22,686.940",13.280
33,2011-03-31,7,"19,544.390",18.370
34,2010-12-31,12,"22,978.910",21.600
35,2010-09-30,8,"23,324.650",24.810
36,2010-06-30,17,"5,639.240",7.740
