序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,18,"54,906.850",4.900
2,2017-12-31,100,"74,522.720",7.340
3,2017-09-30,11,"67,870.590",6.260
4,2017-06-30,111,"136,935.010",12.660
5,2017-03-31,18,"113,134.550",9.490
6,2016-12-31,127,"184,992.510",15.310
7,2016-09-30,17,"128,256.190",11.010
8,2016-06-30,145,"244,769.160",19.000
9,2016-03-31,16,"125,795.730",9.570
10,2015-12-31,191,"613,711.620",25.270
11,2015-09-30,23,"224,786.550",14.090
12,2015-06-30,112,"395,103.880",19.570
13,2015-03-31,24,"294,377.880",17.280
14,2014-12-31,83,"237,919.320",22.750
15,2014-09-30,26,"195,716.510",18.270
16,2014-06-30,86,"162,726.000",21.300
17,2014-03-31,7,"99,365.080",13.940
18,2013-12-31,61,"126,908.260",17.210
19,2013-09-30,15,"80,931.530",8.790
20,2013-06-30,28,"55,479.740",12.790
21,2013-03-31,10,"48,067.950",11.600
22,2012-12-31,18,"39,437.090",22.380
23,2012-09-30,5,"32,711.550",17.120
24,2012-06-30,22,"44,086.300",22.680
25,2012-03-31,4,"15,292.520",8.590
26,2011-12-31,16,"27,208.510",15.710
27,2011-09-30,5,"20,460.800",11.310
28,2011-06-30,8,"21,039.190",11.170
29,2011-03-31,3,"24,917.380",10.390
30,2010-12-31,8,"17,003.420",12.550
31,2010-09-30,5,"15,191.060",14.120
32,2010-06-30,17,"12,916.080",14.510
33,2010-03-31,8,"2,359.730",2.130
