序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,21,"2,368.340",0.720
2,2017-09-30,1,"1,447.690",0.330
3,2017-06-30,22,"5,561.530",1.170
4,2016-12-31,9,335.490,0.070
5,2016-06-30,4,471.260,0.120
6,2016-03-31,7,"8,689.280",1.890
7,2015-12-31,13,"13,103.030",2.410
8,2015-09-30,2,864.360,0.200
9,2015-06-30,7,883.070,0.150
10,2014-12-31,6,"1,330.310",0.340
11,2014-09-30,3,"5,638.640",1.620
12,2014-06-30,6,77.930,0.030
13,2014-03-31,1,"1,232.820",0.440
14,2013-12-31,9,"4,882.070",1.620
15,2013-09-30,4,"7,795.840",2.530
16,2013-06-30,5,"8,124.370",3.250
17,2013-03-31,3,"10,654.560",4.130
18,2012-12-31,11,"23,933.310",8.400
19,2012-09-30,3,"19,232.130",6.680
20,2012-06-30,26,"37,833.140",11.180
21,2012-03-31,7,"41,527.810",11.070
22,2011-12-31,26,"63,974.030",17.390
23,2011-09-30,8,"45,620.590",10.460
24,2011-06-30,17,"69,346.170",12.990
25,2011-03-31,5,"57,139.320",10.110
26,2010-12-31,18,"96,024.020",14.450
27,2010-09-30,6,"87,112.640",10.870
28,2010-06-30,16,"71,427.970",14.000
29,2010-03-31,6,"66,797.350",11.460
30,2009-12-31,13,"68,950.070",15.160
31,2009-09-30,9,"79,952.780",17.730
32,2009-06-30,17,"79,411.400",22.510
33,2009-03-31,8,"58,587.850",44.050
34,2008-12-31,13,"35,867.370",44.910
35,2008-09-30,7,"34,105.820",36.110
36,2008-06-30,11,"48,779.550",35.240
37,2008-03-31,5,"54,576.470",33.610
38,2007-12-31,4,"43,771.310",28.650
39,2007-09-30,7,"31,065.430",28.990
40,2007-06-30,7,"23,787.400",27.970
41,2007-03-31,8,"34,940.120",40.770
42,2006-12-31,20,"19,810.060",36.320
43,2006-09-30,5,"5,835.710",13.520
44,2006-06-30,4,"5,601.540",13.080
45,2006-03-31,1,926.940,3.960
46,2005-12-31,1,28.200,0.150
47,2005-06-30,1,24.870,0.150
48,2004-12-31,1,31.530,0.150
49,2004-06-30,1,40.000,0.150
50,2002-12-31,3,564.690,1.520
51,2002-06-30,1,42.340,0.090
52,2000-12-31,1,"2,792.660",4.270
53,2000-06-30,1,"5,283.260",7.600
