序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-06-30,9,732.510,0.430
2,2018-03-31,1,23.320,0.010
3,2017-12-31,15,"8,944.850",4.470
4,2017-09-30,5,"18,895.740",7.100
5,2017-06-30,14,"26,019.810",8.730
6,2017-03-31,6,"23,839.670",7.400
7,2016-12-31,30,"32,113.490",8.820
8,2016-09-30,4,"13,365.760",4.070
9,2016-06-30,33,"29,187.020",8.810
10,2016-03-31,2,"4,624.510",1.660
11,2015-12-31,20,"18,279.450",5.160
12,2015-09-30,1,"1,116.040",0.430
13,2015-06-30,8,"7,902.390",2.500
14,2014-12-31,2,236.520,0.080
15,2014-06-30,2,962.370,0.420
16,2013-12-31,1,238.490,0.300
17,2012-12-31,1,"1,369.450",2.350
18,2012-09-30,1,"1,153.670",2.080
19,2012-06-30,1,11.330,0.020
20,2011-06-30,2,"3,572.200",9.860
21,2011-03-31,5,"4,642.940",
