序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,2,18.970,0.000
2,2016-12-31,1,17.250,0.000
3,2016-06-30,2,534.210,0.120
4,2014-09-30,1,"3,084.030",0.820
5,2012-03-31,3,"1,184.860",0.320
6,2011-12-31,8,"2,283.110",0.660
7,2011-09-30,1,964.000,0.250
8,2011-06-30,7,"2,020.660",0.550
9,2011-03-31,1,"2,194.550",0.450
10,2010-12-31,8,"2,190.170",0.520
11,2010-09-30,3,"4,761.380",0.960
12,2010-06-30,7,"2,388.060",0.630
13,2010-03-31,4,"20,261.100",3.120
14,2009-12-31,23,"71,206.360",10.080
15,2009-09-30,11,"61,477.190",10.470
16,2009-06-30,9,"9,784.550",2.230
17,2009-03-31,3,"15,567.150",6.190
18,2008-12-31,3,360.740,0.270
19,2008-09-30,1,"2,169.970",1.410
20,2008-06-30,5,"8,090.060",3.550
21,2008-03-31,6,"47,491.650",11.010
22,2007-12-31,14,"105,976.920",19.040
23,2007-09-30,4,"46,814.940",10.020
24,2006-12-31,1,3.710,0.010
25,2006-06-30,1,3.570,0.010
26,2006-03-31,1,899.110,1.710
27,2005-12-31,6,"6,147.210",12.040
28,2005-09-30,5,"7,148.070",12.950
29,2005-06-30,4,"1,776.790",3.610
30,2005-03-31,2,"2,449.050",4.110
31,2004-12-31,3,"2,864.330",4.740
32,2004-09-30,2,"3,233.120",4.380
33,2004-06-30,5,"8,274.190",12.660
34,2003-12-31,1,"1,147.130",2.260
35,2002-06-30,2,214.110,0.410
