序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,14,"58,117.890",2.660
2,2017-09-30,16,"96,184.400",4.660
3,2017-06-30,99,"147,222.830",6.570
4,2017-03-31,15,"61,895.310",3.690
5,2016-12-31,68,"126,985.280",8.700
6,2016-09-30,22,"122,674.830",7.640
7,2016-06-30,70,"67,290.310",4.670
8,2016-03-31,12,"34,916.540",2.410
9,2015-12-31,44,"51,694.650",3.970
10,2015-09-30,2,"3,015.810",0.330
11,2015-06-30,24,"2,860.450",0.250
12,2014-12-31,20,"19,125.870",3.310
13,2014-09-30,2,"18,427.850",3.480
14,2014-06-30,34,"21,502.840",4.630
15,2014-03-31,4,"19,051.560",4.100
16,2013-12-31,30,"30,708.570",6.220
17,2013-09-30,3,"21,662.120",5.030
18,2013-06-30,38,"39,676.190",9.570
19,2013-03-31,4,"18,046.960",4.700
20,2012-12-31,34,"44,086.490",10.350
21,2012-09-30,5,"27,792.940",7.570
22,2012-06-30,29,"41,729.530",7.030
23,2012-03-31,4,"37,236.850",5.680
24,2011-12-31,22,"61,718.950",8.610
25,2011-09-30,5,"49,627.290",5.950
26,2011-06-30,19,"97,826.380",10.040
27,2011-03-31,8,"72,629.030",7.400
28,2010-12-31,29,"112,606.810",11.010
29,2010-09-30,7,"74,606.980",7.760
30,2010-06-30,37,"91,542.490",34.140
31,2010-03-31,4,"31,674.780",14.360
32,2009-12-31,20,"40,518.620",18.540
33,2009-09-30,6,"31,387.680",17.010
34,2009-06-30,15,"35,082.350",22.710
35,2009-03-31,8,"24,533.320",17.070
36,2008-12-31,27,"32,919.910",25.610
37,2008-09-30,8,"16,644.520",14.490
38,2008-06-30,9,"15,866.320",23.120
39,2008-03-31,4,"6,814.550",6.790
40,2007-12-31,17,"30,885.790",25.890
41,2007-09-30,9,"131,598.940",44.720
42,2007-06-30,28,"155,277.460",59.120
43,2007-03-31,7,"66,283.250",34.370
44,2006-12-31,16,"57,801.940",41.330
45,2006-09-30,9,"36,326.630",31.510
46,2006-06-30,12,"15,506.410",19.780
47,2006-03-31,5,"3,913.790",9.680
48,2005-12-31,10,"5,860.150",15.390
49,2005-09-30,7,"14,096.350",30.880
50,2005-06-30,9,"13,809.050",35.730
51,2005-03-31,5,"6,575.440",20.380
52,2004-12-31,13,"6,768.350",20.260
53,2004-09-30,7,"4,538.600",12.180
