序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,25,"225,799.670",5.530
2,2018-12-31,194,"284,822.840",9.970
3,2018-09-30,41,"219,331.510",7.460
4,2018-06-30,138,"245,834.980",8.760
5,2018-03-31,21,"92,234.470",4.330
6,2017-12-31,124,"132,432.400",6.050
7,2017-09-30,16,"96,184.400",4.660
8,2017-06-30,99,"147,222.830",6.570
9,2017-03-31,15,"61,895.310",3.690
10,2016-12-31,68,"126,985.280",8.700
11,2016-09-30,22,"122,674.830",7.640
12,2016-06-30,70,"67,290.310",4.670
13,2016-03-31,12,"34,916.540",2.410
14,2015-12-31,44,"51,694.650",3.970
15,2015-09-30,2,"3,015.810",0.330
16,2015-06-30,24,"2,860.450",0.250
17,2014-12-31,20,"19,125.870",3.310
18,2014-09-30,2,"18,427.850",3.480
19,2014-06-30,34,"21,502.840",4.630
20,2014-03-31,4,"19,051.560",4.100
21,2013-12-31,30,"30,708.570",6.220
22,2013-09-30,3,"21,662.120",5.030
23,2013-06-30,38,"39,676.190",9.570
24,2013-03-31,4,"18,046.960",4.700
25,2012-12-31,34,"44,086.490",10.350
26,2012-09-30,5,"27,792.940",7.570
27,2012-06-30,29,"41,729.530",7.030
28,2012-03-31,4,"37,236.850",5.680
29,2011-12-31,22,"61,718.950",8.610
30,2011-09-30,5,"49,627.290",5.950
31,2011-06-30,19,"97,826.380",10.040
32,2011-03-31,8,"72,629.030",7.400
33,2010-12-31,29,"112,606.810",11.010
34,2010-09-30,7,"74,606.980",7.760
35,2010-06-30,37,"91,542.490",34.140
36,2010-03-31,4,"31,674.780",14.360
37,2009-12-31,20,"40,518.620",18.540
38,2009-09-30,6,"31,387.680",17.010
39,2009-06-30,15,"35,082.350",22.710
40,2009-03-31,8,"24,533.320",17.070
41,2008-12-31,27,"32,919.910",25.610
42,2008-09-30,8,"16,644.520",14.490
43,2008-06-30,9,"15,866.320",23.120
44,2008-03-31,4,"6,814.550",6.790
45,2007-12-31,17,"30,885.790",25.890
46,2007-09-30,9,"131,598.940",44.720
47,2007-06-30,28,"155,277.460",59.120
48,2007-03-31,7,"66,283.250",34.370
49,2006-12-31,16,"57,801.940",41.330
50,2006-09-30,9,"36,326.630",31.510
51,2006-06-30,12,"15,506.410",19.780
52,2006-03-31,5,"3,913.790",9.680
53,2005-12-31,10,"5,860.150",15.390
54,2005-09-30,7,"14,096.350",30.880
55,2005-06-30,9,"13,809.050",35.730
56,2005-03-31,5,"6,575.440",20.380
57,2004-12-31,13,"6,768.350",20.260
58,2004-09-30,7,"4,538.600",12.180
