序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,9,260.790,0.100
2,2018-06-30,4,20.360,0.010
3,2017-12-31,5,95.440,0.020
4,2017-06-30,7,158.960,0.040
5,2016-12-31,13,"8,282.100",1.380
6,2016-09-30,4,"11,575.760",1.540
7,2016-06-30,2,35.930,0.010
8,2016-03-31,1,534.050,0.090
9,2015-12-31,4,"1,273.990",0.160
10,2015-03-31,2,"4,244.800",0.840
11,2014-12-31,4,"1,879.890",0.480
12,2013-12-31,2,77.650,0.030
13,2013-06-30,16,"1,343.740",0.580
14,2012-12-31,12,"1,658.870",0.540
15,2012-06-30,10,"1,778.420",0.520
16,2012-03-31,1,841.170,0.240
17,2011-12-31,7,"1,515.920",0.450
18,2011-06-30,6,"1,704.620",0.420
19,2011-03-31,1,"3,900.000",1.020
20,2010-12-31,3,"1,277.280",0.360
21,2010-09-30,2,"1,531.590",0.400
22,2010-06-30,3,"2,046.780",0.590
23,2010-03-31,2,"2,171.940",0.480
24,2009-12-31,1,708.370,0.160
25,2009-06-30,1,148.170,0.040
26,2008-12-31,2,144.910,0.070
27,2008-09-30,1,376.990,0.160
28,2008-06-30,3,818.290,0.250
29,2008-03-31,1,823.510,0.170
30,2007-12-31,1,262.970,0.040
31,2006-12-31,1,51.770,0.040
32,2006-06-30,1,84.980,0.060
33,2006-03-31,1,59.240,0.060
34,2005-12-31,2,181.720,0.210
35,2005-09-30,2,186.940,0.200
36,2005-06-30,1,58.690,0.060
37,2005-03-31,1,66.990,0.060
38,2004-12-31,1,81.110,0.060
39,2004-09-30,1,96.330,0.060
40,2004-06-30,1,89.690,0.060
41,2003-12-31,1,125.650,0.080
42,2003-06-30,1,186.680,0.110
43,2002-12-31,3,415.690,0.240
44,2002-06-30,7,952.330,0.400
45,2000-06-30,1,289.870,0.130
