序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,7,158.960,0.040
2,2016-12-31,13,"8,282.100",1.380
3,2016-09-30,4,"11,575.760",1.540
4,2016-06-30,2,35.930,0.010
5,2016-03-31,1,534.050,0.090
6,2015-12-31,4,"1,273.990",0.160
7,2015-03-31,2,"4,244.800",0.840
8,2014-12-31,4,"1,879.890",0.480
9,2013-12-31,2,77.650,0.030
10,2013-06-30,16,"1,343.740",0.580
11,2012-12-31,12,"1,658.870",0.540
12,2012-06-30,10,"1,778.420",0.520
13,2012-03-31,1,841.170,0.240
14,2011-12-31,7,"1,515.920",0.450
15,2011-06-30,6,"1,704.620",0.420
16,2011-03-31,1,"3,900.000",1.020
17,2010-12-31,3,"1,277.280",0.360
18,2010-09-30,2,"1,531.590",0.400
19,2010-06-30,3,"2,046.780",0.590
20,2010-03-31,2,"2,171.940",0.480
21,2009-12-31,1,708.370,0.160
22,2009-06-30,1,148.170,0.040
23,2008-12-31,2,144.910,0.070
24,2008-09-30,1,376.990,0.160
25,2008-06-30,3,818.290,0.250
26,2008-03-31,1,823.510,0.170
27,2007-12-31,1,262.970,0.040
28,2006-12-31,1,51.770,0.040
29,2006-06-30,1,84.980,0.060
30,2006-03-31,1,59.240,0.060
31,2005-12-31,2,181.720,0.210
32,2005-09-30,2,186.940,0.200
33,2005-06-30,1,58.690,0.060
34,2005-03-31,1,66.990,0.060
35,2004-12-31,1,81.110,0.060
36,2004-09-30,1,96.330,0.060
37,2004-06-30,1,89.690,0.060
38,2003-12-31,1,125.650,0.080
39,2003-06-30,1,186.680,0.110
40,2002-12-31,3,415.690,0.240
41,2002-06-30,7,952.330,0.400
42,2000-06-30,1,289.870,0.130
