序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,20,"72,752.820",0.680
2,2018-12-31,186,"286,288.890",3.670
3,2018-09-30,19,"164,957.640",2.110
4,2018-06-30,152,"249,340.710",3.360
5,2018-03-31,27,"203,016.170",2.040
6,2017-12-31,217,"413,979.120",3.740
7,2017-09-30,48,"362,876.190",3.050
8,2017-06-30,274,"519,308.100",4.500
9,2017-03-31,49,"455,993.090",3.340
10,2016-12-31,212,"602,541.390",4.730
11,2016-09-30,25,"384,061.110",3.450
12,2016-06-30,132,"483,993.220",4.260
13,2016-03-31,26,"459,863.800",3.560
14,2015-12-31,135,"727,711.880",4.310
15,2015-09-30,35,"634,441.300",3.530
16,2015-06-30,163,"1,247,352.110",4.690
17,2015-03-31,32,"318,846.560",1.770
18,2014-12-31,192,"661,842.870",4.400
19,2014-09-30,41,"192,412.600",1.880
20,2014-06-30,110,"223,925.710",3.000
21,2014-03-31,10,"68,648.980",0.950
22,2013-12-31,127,"369,936.130",5.450
23,2013-09-30,23,"139,489.550",1.940
24,2013-06-30,112,"215,049.650",4.450
25,2013-03-31,12,"53,949.040",0.970
26,2012-12-31,114,"297,887.690",5.520
27,2012-09-30,10,"129,553.140",6.710
28,2012-06-30,103,"372,654.280",17.660
29,2012-03-31,15,"204,250.360",8.950
30,2011-12-31,107,"427,499.630",24.610
31,2011-09-30,17,"331,039.690",14.530
32,2011-06-30,125,"809,711.110",27.630
33,2011-03-31,33,"519,183.220",18.520
34,2010-12-31,115,"779,589.620",31.120
35,2010-09-30,18,"273,043.060",15.820
36,2010-06-30,40,"173,903.690",13.310
37,2010-03-31,18,"136,962.470",9.840
38,2009-12-31,57,"116,804.280",7.500
