序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,1,"3,417.630",1.270
2,2017-12-31,7,"5,051.220",1.650
3,2017-09-30,3,"7,822.530",2.160
4,2017-06-30,10,"9,433.030",2.440
5,2017-03-31,1,"9,339.340",1.790
6,2016-12-31,13,"8,971.810",1.670
7,2016-09-30,1,"2,307.230",0.420
8,2016-06-30,14,"5,537.560",1.000
9,2016-03-31,1,"1,179.930",0.170
10,2015-12-31,18,"27,359.820",2.840
11,2015-06-30,7,"9,241.810",1.060
12,2015-03-31,1,"3,489.970",0.760
13,2014-12-31,3,16.170,0.010
14,2014-06-30,6,62.220,0.020
15,2013-12-31,8,183.360,0.060
16,2013-09-30,2,"8,482.260",2.350
17,2013-06-30,11,"7,422.020",2.010
18,2013-03-31,2,"4,099.940",1.330
19,2012-12-31,10,"4,718.610",1.500
20,2012-09-30,3,"9,560.070",3.240
21,2012-06-30,14,"18,747.000",5.430
22,2012-03-31,4,"17,221.030",4.680
23,2011-12-31,15,"44,468.850",11.610
24,2011-09-30,6,"33,471.220",8.000
25,2011-06-30,16,"41,649.560",10.330
26,2011-03-31,5,"30,776.490",6.730
27,2010-12-31,13,"25,534.990",5.700
28,2010-09-30,3,"6,387.630",1.920
29,2010-06-30,5,"13,231.450",4.610
30,2009-12-31,2,"1,664.320",0.420
31,2008-12-31,4,"1,677.900",6.510
32,2008-09-30,2,"1,458.180",7.680
33,2008-06-30,2,"1,811.160",7.420
34,2008-03-31,2,"3,170.800",8.020
35,2007-12-31,2,"4,201.140",8.290
36,2007-09-30,2,"5,511.670",12.370
37,2007-06-30,3,"6,771.300",16.630
38,2007-03-31,2,"1,718.480",5.780
39,2006-12-31,9,622.750,3.440
