序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,5,"2,015.370",0.080
2,2018-12-31,97,"29,104.330",2.040
3,2018-09-30,5,"3,847.140",0.210
4,2018-06-30,104,"44,416.510",1.550
5,2018-03-31,13,"12,584.940",0.350
6,2017-12-31,102,"47,627.570",1.230
7,2017-09-30,12,"9,938.140",0.420
8,2017-06-30,116,"40,728.330",1.820
9,2017-03-31,11,"24,431.410",0.800
10,2016-12-31,99,"68,440.840",1.810
11,2016-09-30,30,"77,234.770",1.810
12,2016-06-30,102,"86,228.210",2.390
13,2016-03-31,8,"10,935.390",0.510
14,2015-12-31,106,"142,042.590",4.720
15,2015-09-30,17,"73,642.350",3.410
16,2015-06-30,143,"359,848.170",8.180
17,2015-03-31,25,"193,650.100",4.510
18,2014-12-31,88,"180,435.330",6.420
19,2014-09-30,4,"59,901.160",3.100
20,2014-06-30,55,"81,371.770",4.650
21,2014-03-31,7,"57,349.330",3.070
22,2013-12-31,28,"94,823.510",5.050
23,2013-09-30,17,"86,439.680",4.740
24,2013-06-30,35,"72,839.180",7.560
25,2013-03-31,8,"32,460.910",3.810
26,2012-12-31,27,"41,475.150",6.410
27,2012-09-30,6,"24,666.040",5.030
28,2012-06-30,25,"16,369.230",4.130
29,2012-03-31,5,"22,716.060",5.750
30,2011-12-31,24,"30,340.800",7.250
31,2011-09-30,5,"24,469.640",5.270
32,2011-06-30,16,"37,261.440",5.960
33,2011-03-31,6,"35,378.380",4.690
34,2010-12-31,9,"24,009.150",3.390
35,2010-09-30,3,"22,948.430",3.580
36,2010-06-30,8,"18,583.830",3.910
37,2010-03-31,3,"21,823.170",3.420
38,2009-12-31,5,"17,720.040",2.790
39,2009-09-30,2,"6,385.280",1.390
40,2009-06-30,8,"8,546.320",2.170
41,2009-03-31,3,"6,189.600",1.690
42,2008-12-31,7,"4,688.830",1.940
43,2008-09-30,3,"5,147.150",1.710
44,2008-06-30,7,"6,006.430",1.850
45,2008-03-31,3,"8,736.670",1.600
46,2007-12-31,7,"11,847.970",1.670
47,2007-09-30,3,"12,403.980",1.460
48,2007-06-30,8,"12,565.380",1.950
49,2007-03-31,2,"5,598.240",1.110
50,2006-12-31,6,"3,095.810",0.930
51,2006-09-30,1,"2,732.010",0.860
52,2006-06-30,8,"6,227.330",1.910
53,2006-03-31,3,"6,516.190",2.890
54,2005-12-31,5,970.260,0.380
55,2005-09-30,4,"4,103.340",1.670
56,2005-06-30,6,"3,245.550",1.120
57,2005-03-31,2,"2,697.310",0.830
58,2004-12-31,6,"7,007.470",1.860
59,2004-09-30,3,"11,257.000",2.850
60,2004-06-30,6,"13,129.860",3.900
61,2003-12-31,3,"1,339.650",0.580
62,2003-09-30,1,"1,043.230",0.420
63,2003-06-30,11,"6,811.600",2.560
64,2003-03-31,2,"5,753.930",2.950
65,2002-12-31,7,"7,994.980",4.690
66,2002-09-30,1,"3,643.310",2.050
67,2002-06-30,7,"12,959.460",6.540
68,2002-03-31,3,"10,579.140",6.120
69,2001-12-31,4,"11,356.990",6.010
70,2001-09-30,4,"18,449.340",8.590
71,2001-06-30,5,"39,619.490",14.120
72,2001-03-31,3,"40,200.860",14.270
73,2000-12-31,4,"49,159.160",16.490
74,2000-09-30,7,"84,615.010",26.540
75,2000-06-30,9,"98,977.290",28.060
76,2000-03-31,7,"115,982.650",28.650
77,1999-09-30,1,"2,404.480",1.860
