序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-09-30,10,"2,397.160",0.490
2,2017-06-30,33,"17,783.730",4.670
3,2017-03-31,4,"9,969.990",2.220
4,2016-12-31,35,"15,063.360",3.190
5,2016-09-30,5,"6,687.000",1.560
6,2016-06-30,19,"5,065.590",1.240
7,2015-12-31,10,"3,012.180",0.680
8,2015-09-30,1,186.090,0.050
9,2015-06-30,3,162.300,0.040
10,2015-03-31,2,"4,201.890",1.270
11,2014-12-31,4,"7,560.560",3.010
12,2014-06-30,3,84.680,0.040
13,2013-12-31,4,134.670,0.070
14,2013-06-30,4,31.330,0.020
15,2012-12-31,5,444.970,0.390
16,2012-06-30,5,131.750,0.110
17,2011-12-31,3,334.160,0.290
18,2011-06-30,2,401.910,0.240
19,2008-03-31,1,"1,330.090",1.570
20,2007-12-31,1,"1,554.500",1.550
21,2007-09-30,1,"1,055.910",1.460
22,2007-06-30,1,"1,551.400",2.630
23,2007-03-31,1,"1,825.850",2.670
24,2006-12-31,11,"1,629.480",3.330
