序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-09-30,1,"1,766.200",0.380
2,2017-06-30,23,"9,897.530",1.830
3,2017-03-31,1,"5,732.970",1.210
4,2016-12-31,38,"24,139.220",4.610
5,2016-09-30,2,"9,073.950",1.830
6,2016-06-30,49,"31,973.950",6.040
7,2016-03-31,7,"20,112.140",3.840
8,2015-12-31,56,"74,066.280",9.550
9,2015-09-30,11,"48,795.650",8.740
10,2015-06-30,43,"81,124.100",10.980
11,2015-03-31,12,"44,856.040",7.520
12,2014-12-31,31,"41,332.200",20.030
13,2014-09-30,5,"12,554.930",6.680
14,2014-06-30,15,"9,259.580",6.010
15,2014-03-31,2,"10,015.890",6.430
16,2013-12-31,15,"25,151.650",14.780
17,2013-09-30,8,"23,170.070",14.050
18,2013-06-30,21,"31,555.620",26.370
19,2013-03-31,3,"10,488.920",10.820
20,2012-12-31,18,"22,564.470",28.720
21,2012-09-30,7,"19,475.710",33.960
22,2012-06-30,19,"17,931.610",28.140
