序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-09-30,3,"15,255.210",1.740
2,2017-06-30,14,"17,640.990",2.500
3,2017-03-31,2,"11,342.010",1.450
4,2016-12-31,53,"107,602.870",11.830
5,2016-09-30,13,"56,985.570",6.390
6,2016-06-30,56,"76,234.520",8.150
7,2016-03-31,2,"2,156.430",0.410
8,2015-12-31,10,"13,907.690",2.180
9,2015-09-30,4,"10,367.270",2.040
10,2015-06-30,10,"15,709.680",2.180
11,2015-03-31,1,"7,989.400",1.920
12,2014-12-31,4,218.670,0.080
13,2014-06-30,3,213.910,0.090
14,2013-12-31,3,"5,708.090",2.260
15,2013-06-30,2,10.000,0.010
16,2012-06-30,1,18.630,0.010
17,2012-03-31,1,396.660,0.240
18,2010-09-30,2,"1,598.900",2.660
19,2010-06-30,2,"7,248.630",10.980
20,2010-03-31,4,"11,618.120",16.410
21,2009-12-31,4,"13,430.690",17.660
22,2009-09-30,4,"4,488.690",10.410
23,2009-06-30,1,31.810,0.070
24,2008-12-31,5,420.320,1.770
25,2008-06-30,74,"1,809.350",7.410
