序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-09-30,2,"1,589.640",0.310
2,2017-06-30,9,"2,594.000",0.530
3,2017-03-31,2,"2,678.790",0.440
4,2016-12-31,24,"11,896.140",1.810
5,2016-09-30,1,"3,913.690",0.590
6,2016-06-30,9,208.220,0.030
7,2016-03-31,2,452.840,0.050
8,2015-12-31,14,"18,439.420",1.460
9,2015-09-30,3,"6,669.440",0.840
10,2015-06-30,9,"6,880.230",1.030
11,2015-03-31,1,"3,938.170",0.600
12,2014-12-31,7,"2,816.410",0.620
13,2012-12-31,1,21.910,0.010
14,2012-06-30,2,165.020,0.080
15,2011-12-31,1,23.620,0.010
16,2011-06-30,4,"1,019.410",0.320
17,2010-12-31,3,"1,027.270",0.290
18,2010-09-30,1,600.590,0.180
19,2010-06-30,4,"1,868.390",0.690
20,2010-03-31,1,"1,083.150",0.250
21,2009-12-31,2,"1,762.160",0.410
22,2008-12-31,1,153.130,0.080
23,2007-12-31,2,"2,241.000",1.010
24,2007-03-31,1,"2,705.280",1.480
25,2006-12-31,2,706.950,0.830
26,2006-06-30,5,"2,820.250",3.150
27,2006-03-31,4,"6,401.210",8.930
28,2005-12-31,4,629.210,1.170
29,2005-09-30,1,76.060,0.140
30,2005-06-30,1,38.980,0.080
31,2005-03-31,1,123.050,0.220
32,2004-12-31,2,252.810,0.350
33,2004-09-30,1,187.220,0.220
34,2004-06-30,2,389.630,0.420
35,2003-12-31,1,231.370,0.240
36,2002-12-31,13,"8,828.830",6.970
37,2002-06-30,16,"15,129.350",8.200
38,2001-12-31,3,"8,065.360",4.330
39,2001-06-30,3,"6,384.010",2.510
40,2000-12-31,1,"1,396.000",0.680
41,2000-06-30,4,"9,365.720",4.260
