序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,9,"76,744.510",10.910
2,2017-09-30,11,"88,896.110",11.610
3,2017-06-30,39,"149,703.850",17.730
4,2017-03-31,14,"140,671.020",15.430
5,2016-12-31,36,"114,782.380",16.550
6,2016-09-30,19,"88,818.980",14.570
7,2016-06-30,35,"52,553.200",11.420
8,2016-03-31,7,"43,318.390",8.740
9,2015-12-31,11,"15,166.780",3.280
10,2015-09-30,1,"4,730.540",1.880
11,2015-06-30,18,"26,299.660",6.170
12,2015-03-31,9,"31,440.710",7.180
13,2014-12-31,18,"25,157.650",8.210
14,2014-09-30,7,"13,812.090",4.720
15,2014-06-30,1,"4,563.160",1.880
16,2013-12-31,4,"3,538.460",1.810
17,2013-09-30,3,"11,940.060",5.560
18,2013-06-30,6,"8,597.890",5.040
19,2013-03-31,4,"11,755.340",5.930
20,2012-12-31,10,"7,532.400",3.470
21,2012-09-30,1,"4,662.650",1.860
22,2012-06-30,4,"8,131.730",3.780
23,2012-03-31,3,"11,413.460",5.250
24,2011-12-31,13,"17,555.170",8.510
25,2011-09-30,7,"27,522.680",10.420
26,2011-06-30,28,"58,163.550",22.560
27,2011-03-31,8,"49,209.360",16.650
28,2010-12-31,46,"145,507.200",41.530
29,2010-09-30,14,"116,002.030",30.890
30,2010-06-30,60,"133,018.640",46.740
31,2010-03-31,9,"55,063.850",17.030
32,2009-12-31,40,"114,375.230",34.980
33,2009-09-30,8,"47,831.160",21.250
34,2009-06-30,36,"95,421.460",38.890
35,2009-03-31,11,"42,135.790",16.510
36,2008-12-31,45,"100,330.370",53.640
37,2008-09-30,7,"48,088.060",21.630
38,2008-06-30,35,"129,375.980",45.540
39,2008-03-31,5,"55,384.010",18.930
40,2007-12-31,19,"103,894.450",33.550
41,2007-09-30,6,"58,504.310",27.090
42,2007-06-30,22,"69,467.590",49.360
43,2007-03-31,8,"48,552.120",34.940
44,2006-12-31,17,"39,770.230",37.450
45,2006-09-30,6,"12,041.780",17.610
46,2006-06-30,12,"13,311.850",18.500
47,2006-03-31,3,"3,067.760",7.470
48,2005-12-31,2,654.360,2.150
49,2005-09-30,1,193.610,0.630
50,2005-06-30,1,19.570,0.070
51,2004-12-31,1,21.760,0.070
52,2004-06-30,1,23.610,0.070
53,2002-12-31,2,250.250,0.490
54,2002-06-30,6,"1,267.460",1.740
55,2001-12-31,2,466.590,0.630
56,2000-06-30,1,778.770,0.750
