序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,4,"39,491.340",3.070
2,2017-09-30,9,"43,043.800",3.130
3,2017-06-30,58,"82,560.340",5.380
4,2017-03-31,11,"62,308.570",4.160
5,2016-12-31,55,"20,625.690",1.390
6,2016-09-30,3,"9,250.020",0.700
7,2016-06-30,44,"19,113.840",1.540
8,2016-03-31,1,"3,277.950",0.260
9,2015-12-31,18,"5,454.470",0.290
10,2015-09-30,11,"2,816.950",0.150
11,2015-06-30,74,"29,075.980",0.970
12,2015-03-31,12,"84,404.650",3.580
13,2014-12-31,89,"100,222.900",5.380
14,2014-09-30,1,"8,335.010",0.530
15,2014-06-30,45,"6,594.720",0.660
16,2013-12-31,23,"2,347.460",0.200
17,2013-09-30,1,288.310,0.030
18,2013-06-30,15,435.740,0.050
19,2013-03-31,2,"1,640.330",0.130
20,2012-12-31,14,"1,159.480",0.130
21,2012-09-30,4,"1,894.870",0.270
22,2012-06-30,16,"2,942.880",0.370
23,2012-03-31,2,"3,407.330",1.480
24,2011-12-31,13,"4,753.200",2.130
25,2011-09-30,1,"3,916.440",1.340
26,2011-06-30,10,"7,408.090",1.980
27,2011-03-31,1,"5,372.410",1.340
28,2010-12-31,1,118.770,0.030
29,2010-09-30,1,"5,575.760",1.530
30,2010-06-30,6,"24,145.060",10.160
31,2010-03-31,4,"39,211.210",24.700
32,2009-12-31,4,"9,059.870",6.840
33,2008-09-30,1,322.560,0.500
34,2008-06-30,2,"2,375.230",1.930
35,2008-03-31,2,"6,035.460",5.220
36,2007-12-31,1,"5,779.850",3.300
37,2007-09-30,2,"12,376.430",5.640
38,2006-12-31,1,22.610,0.050
39,2006-06-30,1,44.190,0.090
40,2005-12-31,1,30.120,0.090
41,2005-06-30,1,30.000,0.090
42,2005-03-31,1,31.140,0.090
43,2004-12-31,1,34.430,0.090
44,2004-09-30,1,38.870,0.090
45,2004-06-30,1,39.810,0.090
46,2003-12-31,1,55.090,0.130
47,2002-12-31,3,974.900,1.620
48,2002-06-30,6,"1,975.780",2.510
49,2001-12-31,3,"1,790.560",2.160
50,2001-06-30,4,"3,318.190",2.650
51,2000-12-31,2,"4,435.900",3.400
