序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,5,"3,916.160",1.150
2,2017-09-30,3,"6,404.210",1.780
3,2017-06-30,7,"9,621.590",2.720
4,2017-03-31,3,"9,657.700",2.810
5,2016-12-31,21,"13,663.520",3.870
6,2016-09-30,4,"8,601.460",2.550
7,2016-06-30,17,"17,401.660",5.470
8,2016-03-31,4,"11,755.890",3.650
9,2015-12-31,35,"41,529.380",9.730
10,2015-09-30,7,"29,181.560",11.670
11,2015-06-30,27,"44,609.490",11.960
12,2015-03-31,3,"28,650.810",17.160
13,2014-12-31,10,"25,245.790",18.610
14,2014-09-30,3,"7,819.440",6.330
15,2014-06-30,1,5.240,0.010
16,2013-12-31,1,117.820,0.120
17,2013-06-30,2,289.730,0.350
18,2012-12-31,4,"1,388.010",1.420
19,2012-06-30,3,"7,064.770",7.100
20,2012-03-31,2,"7,363.820",7.160
21,2011-12-31,2,"6,821.730",7.160
22,2011-09-30,2,"7,536.400",5.650
23,2011-06-30,2,"5,685.750",4.590
24,2011-03-31,2,"5,794.180",4.520
25,2010-12-31,4,"9,294.770",5.770
26,2006-12-31,1,0.010,0.000
27,2006-06-30,1,0.010,0.000
28,2005-12-31,1,0.000,0.000
29,2005-06-30,1,0.010,0.000
30,2004-12-31,1,0.010,0.000
31,2004-09-30,1,"1,194.840",2.730
32,2004-06-30,3,"2,855.700",5.790
33,2002-06-30,1,39.850,0.060
34,2000-12-31,1,485.580,1.090
