序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,53,"177,270.800",9.660
2,2018-12-31,334,"327,516.490",22.330
3,2018-09-30,63,"185,603.220",11.860
4,2018-06-30,279,"325,876.410",20.750
5,2018-03-31,75,"237,762.600",12.520
6,2017-12-31,323,"373,515.270",20.440
7,2017-09-30,47,"118,190.740",6.890
8,2017-06-30,258,"339,132.180",18.870
9,2017-03-31,56,"298,831.920",15.220
10,2016-12-31,214,"383,652.960",20.180
11,2016-09-30,18,"166,958.910",10.460
12,2016-06-30,150,"235,703.970",14.470
13,2016-03-31,22,"161,087.600",9.430
14,2015-12-31,152,"326,591.470",15.770
15,2015-09-30,23,"140,731.390",8.440
16,2015-06-30,144,"325,610.720",13.390
17,2015-03-31,10,"85,017.500",4.560
18,2014-12-31,118,"150,384.830",10.180
19,2014-09-30,10,"23,338.010",1.970
20,2014-06-30,44,"27,951.320",3.180
21,2014-03-31,4,"5,461.340",0.630
22,2013-12-31,60,"53,136.670",6.190
23,2013-09-30,4,"12,992.070",1.500
24,2013-06-30,35,"10,475.740",1.390
25,2013-03-31,1,"3,544.240",0.420
26,2012-12-31,34,"15,376.420",2.420
27,2012-09-30,3,"7,019.270",1.350
28,2012-06-30,29,"27,985.160",4.970
29,2012-03-31,7,"40,971.800",6.930
30,2011-12-31,37,"77,055.500",13.110
31,2011-09-30,5,"42,800.330",5.550
32,2011-06-30,26,"81,634.130",18.100
33,2011-03-31,8,"73,766.290",16.260
34,2010-12-31,27,"109,725.960",22.870
35,2010-09-30,4,"106,143.890",20.610
36,2010-06-30,26,"110,483.020",32.290
37,2010-03-31,6,"79,986.060",17.890
38,2009-12-31,26,"90,736.400",25.490
39,2009-09-30,3,"9,830.920",4.080
40,2009-06-30,12,"11,010.120",4.180
41,2009-03-31,2,"6,452.940",2.460
42,2008-12-31,1,22.200,0.010
43,2007-12-31,1,278.790,0.050
44,2007-09-30,1,842.880,0.240
45,2007-06-30,1,112.890,0.040
46,2007-03-31,1,532.990,0.170
47,2006-12-31,4,"1,220.640",0.580
48,2006-09-30,2,"2,537.140",1.070
49,2006-06-30,2,66.580,0.030
50,2005-12-31,1,0.010,0.000
51,2005-06-30,1,0.010,0.000
52,2004-12-31,1,0.020,0.000
53,2004-06-30,1,0.020,0.000
54,2003-12-31,1,350.670,0.210
55,2001-12-31,1,"2,162.880",1.710
56,2001-06-30,2,"3,540.600",2.350
57,2000-12-31,10,"6,019.260",5.180
