序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,5,"9,770.770",1.340
2,2017-12-31,14,"7,839.190",1.220
3,2017-09-30,2,"5,632.090",0.820
4,2017-06-30,13,"7,648.120",1.650
5,2017-03-31,2,"6,296.850",1.260
6,2016-12-31,14,"9,156.420",1.760
7,2016-09-30,7,"11,295.180",2.130
8,2016-06-30,8,"3,911.430",1.090
9,2016-03-31,1,"1,187.700",0.320
10,2015-12-31,7,"2,657.160",0.620
11,2015-06-30,5,"4,407.960",0.740
12,2014-12-31,26,"2,160.630",0.490
13,2014-09-30,1,72.280,0.020
14,2014-06-30,21,"1,890.450",0.550
15,2013-12-31,21,"1,889.120",0.690
16,2013-06-30,19,"1,983.390",0.740
17,2013-03-31,1,0.080,0.000
18,2012-12-31,18,"5,868.460",1.510
19,2012-09-30,2,"3,712.250",0.750
20,2012-06-30,13,"2,847.810",0.580
21,2011-12-31,2,74.340,0.020
22,2011-06-30,3,"4,654.380",0.620
23,2011-03-31,2,"20,415.360",3.940
24,2010-12-31,3,"14,012.930",3.630
25,2010-09-30,3,"8,878.880",2.630
26,2009-12-31,3,"6,300.960",1.470
27,2009-09-30,2,"5,572.380",1.640
28,2009-06-30,2,"10,272.750",2.800
29,2008-12-31,1,17.480,0.010
30,2008-06-30,5,"27,863.760",10.000
31,2008-03-31,1,"20,736.000",6.670
32,2007-12-31,8,"34,274.700",15.760
33,2007-09-30,3,"17,254.970",5.910
34,2007-06-30,7,"13,139.530",6.280
35,2007-03-31,2,"6,590.740",5.210
36,2006-12-31,11,"17,256.540",18.820
37,2006-06-30,8,"3,790.740",4.200
38,2005-12-31,7,"1,204.600",2.240
39,2005-09-30,1,291.330,0.470
40,2005-06-30,6,"2,961.270",4.280
41,2005-03-31,5,"14,724.250",14.910
42,2004-12-31,13,"25,216.000",22.300
43,2004-09-30,5,"15,949.680",14.150
44,2004-06-30,17,"24,800.220",28.960
45,2004-03-31,1,"1,647.700",1.280
46,2003-12-31,12,"22,910.050",18.920
47,2003-06-30,12,"13,702.020",16.780
48,2002-12-31,7,"3,782.880",5.940
49,2002-06-30,10,"3,735.200",4.490
50,2001-12-31,2,"1,851.100",1.890
51,2001-06-30,1,"1,895.700",1.460
52,2000-12-31,4,"3,448.150",2.840
