序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,2,370.180,0.050
2,2017-12-31,47,"5,394.980",0.680
3,2017-06-30,49,"11,375.610",1.460
4,2016-12-31,47,"20,055.260",2.210
5,2016-09-30,6,"35,060.210",3.400
6,2016-06-30,80,"109,007.630",9.020
7,2016-03-31,2,"16,040.090",1.740
8,2015-12-31,48,"16,759.350",1.500
9,2015-09-30,3,"9,580.690",1.150
10,2015-06-30,44,"58,514.420",4.720
11,2015-03-31,2,"1,532.520",0.190
12,2014-12-31,32,"5,612.990",0.710
13,2014-09-30,1,"1,936.820",0.220
14,2014-06-30,35,"5,316.560",0.670
15,2014-03-31,1,"1,079.180",0.160
16,2013-12-31,36,"9,334.440",1.460
17,2013-09-30,6,"20,322.610",2.880
18,2013-06-30,63,"32,247.700",4.830
19,2013-03-31,4,"21,481.560",2.600
20,2012-12-31,67,"45,607.550",5.020
21,2012-09-30,4,"31,293.500",2.870
22,2012-06-30,53,"53,800.140",5.110
23,2012-03-31,7,"60,251.950",4.460
24,2011-12-31,65,"139,156.280",9.800
25,2011-09-30,4,"41,003.190",2.630
26,2011-06-30,53,"103,319.200",6.170
27,2011-03-31,5,"61,533.320",3.550
28,2010-12-31,50,"159,719.250",8.070
29,2010-09-30,13,"132,588.950",10.510
30,2010-06-30,75,"173,156.990",19.720
31,2010-03-31,11,"77,375.390",9.210
32,2009-12-31,49,"128,265.850",16.200
33,2009-09-30,7,"42,784.490",6.650
34,2009-06-30,34,"121,647.170",16.910
35,2009-03-31,8,"62,920.980",11.580
36,2008-12-31,18,"19,716.640",6.360
37,2008-09-30,5,"18,842.850",5.730
38,2008-06-30,22,"42,924.070",9.600
39,2008-03-31,5,"26,969.100",4.320
40,2007-12-31,13,"14,122.580",2.870
41,2007-09-30,3,"8,505.500",2.620
42,2007-06-30,14,"30,646.830",11.030
43,2007-03-31,2,"18,634.000",6.560
44,2006-12-31,14,"18,931.620",10.220
45,2006-09-30,2,"2,406.590",1.460
46,2006-06-30,15,"5,688.150",3.360
47,2006-03-31,3,"1,127.840",1.110
48,2005-12-31,7,"5,386.330",5.520
49,2005-09-30,6,"3,730.480",4.860
50,2005-06-30,6,"3,493.600",5.000
51,2005-03-31,5,"8,502.820",9.620
52,2004-12-31,11,"16,901.620",17.270
53,2004-09-30,6,"14,562.710",13.370
54,2004-06-30,10,"15,916.010",16.480
55,2004-03-31,3,"4,221.620",3.570
56,2003-12-31,3,723.860,0.890
57,2003-06-30,4,"5,942.370",6.100
58,2003-03-31,1,709.600,0.630
59,2002-12-31,7,"3,933.260",3.660
60,2002-09-30,1,"2,208.920",1.730
61,2002-06-30,8,"4,401.990",3.030
62,2001-12-31,2,"5,013.740",3.780
63,2001-06-30,2,"10,509.100",5.360
64,2001-03-31,2,"23,621.120",12.070
65,2000-12-31,13,"44,082.350",20.560
66,2000-09-30,2,"15,716.840",10.470
67,2000-06-30,23,"46,297.390",30.500
