序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-09-30,3,"6,554.000",0.210
2,2017-06-30,172,"85,669.300",3.160
3,2017-03-31,5,"3,515.640",0.110
4,2016-12-31,131,"121,424.230",4.010
5,2016-09-30,7,"56,175.660",1.630
6,2016-06-30,169,"205,353.970",5.160
7,2016-03-31,7,"27,500.900",0.930
8,2015-12-31,136,"139,332.080",3.670
9,2015-09-30,1,370.320,0.010
10,2015-06-30,97,"177,974.410",3.950
11,2015-03-31,1,24.000,0.000
12,2014-12-31,104,"145,509.300",3.650
13,2014-09-30,1,245.770,0.010
14,2014-06-30,69,"33,295.040",2.140
15,2013-12-31,74,"37,137.820",2.240
16,2013-09-30,1,"6,962.880",0.710
17,2013-06-30,65,"37,249.460",4.320
18,2013-03-31,1,"8,015.430",0.720
19,2012-12-31,60,"49,134.870",4.600
20,2012-09-30,2,26.200,0.000
21,2012-06-30,44,"32,014.490",2.680
22,2011-12-31,32,"10,927.530",1.160
23,2011-09-30,3,"5,773.210",1.630
24,2011-06-30,18,"10,253.870",2.800
25,2011-03-31,6,"15,188.670",3.770
26,2010-12-31,24,"25,949.040",6.670
