序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,44,"97,994.660",10.080
2,2018-09-30,12,"71,746.010",7.690
3,2018-06-30,123,"126,654.120",12.430
4,2018-03-31,21,"71,588.520",5.490
5,2017-12-31,102,"112,562.090",9.920
6,2017-09-30,19,"112,507.100",7.770
7,2017-06-30,144,"211,036.910",15.320
8,2017-03-31,38,"166,592.940",18.510
9,2016-12-31,207,"348,367.140",35.370
10,2016-09-30,83,"310,525.270",23.130
11,2016-06-30,160,"285,620.750",25.610
12,2016-03-31,34,"161,110.020",14.320
13,2015-12-31,118,"214,289.110",18.160
14,2015-09-30,65,"259,578.650",23.880
15,2015-06-30,81,"180,122.720",17.090
16,2015-03-31,14,"111,879.440",17.130
17,2014-12-31,57,"58,901.420",16.850
18,2014-09-30,20,"58,611.540",13.180
19,2014-06-30,77,"126,508.520",32.070
20,2014-03-31,10,"34,398.150",20.230
21,2013-12-31,46,"55,859.600",33.400
22,2013-09-30,10,"50,007.430",25.060
23,2013-06-30,55,"65,151.730",48.600
24,2013-03-31,10,"45,378.930",40.300
25,2012-12-31,40,"48,198.410",50.620
26,2012-09-30,9,"23,059.690",24.080
27,2012-06-30,51,"52,882.720",49.970
28,2012-03-31,7,"20,015.700",28.790
29,2011-12-31,22,"34,159.230",44.860
30,2011-09-30,9,"26,411.450",32.170
31,2011-06-30,1,"1,472.040",2.500
