序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,14,323.290,0.050
2,2018-06-30,8,72.060,0.010
3,2017-12-31,21,"1,430.130",0.140
4,2017-09-30,2,"1,076.660",0.080
5,2017-06-30,67,"15,763.970",1.120
6,2016-12-31,29,"1,984.880",0.120
7,2016-09-30,1,"1,998.900",0.150
8,2016-06-30,21,"1,911.320",0.130
9,2015-12-31,5,40.060,0.000
10,2015-06-30,2,10.840,0.000
11,2014-12-31,4,276.090,0.160
12,2014-09-30,2,"2,306.360",1.220
13,2014-06-30,5,517.360,0.500
14,2013-12-31,19,"2,017.260",1.860
15,2013-09-30,1,504.120,0.440
16,2013-06-30,13,"1,431.550",1.360
17,2012-12-31,8,"1,058.980",0.900
18,2012-06-30,10,"3,331.040",3.250
19,2012-03-31,2,"2,428.170",2.320
20,2011-12-31,5,"1,276.080",1.610
21,2011-09-30,1,682.760,0.810
22,2011-06-30,7,"3,736.230",2.830
23,2011-03-31,1,"1,704.150",1.370
24,2010-12-31,1,69.230,0.070
25,2009-06-30,1,0.020,0.000
26,2008-12-31,1,0.020,0.000
27,2008-06-30,1,0.020,0.000
28,2007-12-31,1,0.020,0.000
29,2007-06-30,1,0.020,0.000
30,2006-12-31,1,0.020,0.000
31,2006-06-30,1,0.020,0.000
32,2005-12-31,1,0.020,0.000
33,2005-06-30,1,0.040,0.000
34,2004-12-31,1,0.060,0.000
35,2004-06-30,1,0.060,0.000
36,2002-12-31,1,885.680,0.670
37,2002-09-30,1,"1,252.240",0.920
38,2002-06-30,2,"1,790.780",1.410
