序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,9,"20,029.040",3.750
2,2017-09-30,7,"32,355.140",5.220
3,2017-06-30,57,"74,264.800",10.250
4,2017-03-31,14,"56,467.160",6.690
5,2016-12-31,50,"38,037.880",4.380
6,2016-09-30,2,"22,176.410",2.630
7,2016-06-30,47,"31,193.460",4.950
8,2016-03-31,2,"20,691.700",3.360
9,2015-12-31,51,"46,582.050",5.990
10,2015-09-30,5,"41,006.540",3.690
11,2015-06-30,35,"40,472.330",4.850
12,2015-03-31,1,"9,254.090",1.610
13,2014-12-31,30,"23,818.710",5.470
14,2014-09-30,1,"2,864.290",0.920
15,2014-06-30,6,"7,728.130",3.520
16,2014-03-31,1,"1,794.000",0.790
17,2013-12-31,6,"10,535.800",4.930
18,2013-06-30,1,0.750,0.000
19,2012-12-31,2,"1,888.430",0.830
20,2012-09-30,1,"1,539.270",0.720
21,2012-06-30,1,"1,250.480",0.720
22,2012-03-31,1,"1,563.600",0.960
23,2011-12-31,5,"4,783.190",4.280
24,2011-09-30,3,"5,855.880",3.610
25,2011-06-30,5,"9,811.770",4.160
26,2011-03-31,2,"7,255.480",3.090
27,2010-12-31,5,"12,992.960",5.170
28,2010-09-30,1,"8,013.800",2.740
29,2010-06-30,7,"25,225.460",11.430
30,2010-03-31,5,"27,986.020",8.560
31,2009-12-31,7,"10,125.290",3.800
32,2007-09-30,1,"3,977.690",3.690
33,2007-06-30,1,"2,748.970",3.670
34,2005-12-31,1,0.050,0.000
35,2005-06-30,1,0.070,0.000
36,2004-12-31,1,0.080,0.000
37,2004-06-30,1,0.070,0.000
38,2002-06-30,2,885.650,1.310
39,2001-12-31,2,"1,232.800",1.750
40,2001-09-30,1,"1,309.350",1.600
41,2001-06-30,1,"1,191.730",1.120
