序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,3,283.130,0.110
2,2017-03-31,2,"4,362.410",1.530
3,2016-12-31,16,"9,416.390",2.550
4,2016-09-30,1,217.000,0.060
5,2016-06-30,9,"10,118.000",2.770
6,2016-03-31,1,128.390,0.040
7,2015-12-31,5,878.040,0.300
8,2015-06-30,12,"13,532.950",4.620
9,2014-12-31,2,97.990,0.090
10,2014-09-30,2,"8,058.810",5.750
11,2014-06-30,3,"4,561.370",4.960
12,2014-03-31,1,"4,633.260",3.990
13,2013-12-31,3,262.410,0.310
14,2013-06-30,4,477.550,0.750
15,2013-03-31,3,"2,631.530",3.250
16,2012-12-31,5,"6,737.420",8.570
17,2012-09-30,3,"9,735.190",11.280
18,2012-06-30,10,"11,425.110",11.350
19,2012-03-31,3,"9,288.510",9.420
20,2011-12-31,6,"8,093.630",8.820
21,2011-09-30,3,"5,592.210",5.200
22,2011-06-30,3,"3,087.420",2.610
23,2011-03-31,2,"2,802.090",2.020
24,2010-12-31,2,"4,205.720",3.030
25,2010-09-30,1,"1,371.950",1.400
26,2010-03-31,1,"2,341.550",2.270
27,2009-12-31,2,"2,949.530",2.920
28,2009-09-30,2,"4,037.420",4.990
29,2009-03-31,1,985.370,1.920
30,2008-12-31,4,"1,779.380",7.790
31,2008-06-30,14,189.590,0.750
