科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,438,274,815.79","2,395,426,332.20","2,237,286,363.47","603,386,677.32","994,406,922.21","1,470,245,389.54","1,917,306,226.95","481,526,527.84","875,464,025.81","1,273,602,032.79"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,"8,735,819.93","5,096,284.58","6,261,289.13","1,828,759.47","2,736,628.06","4,940,735.40","6,845,758.90","1,646,877.49","2,016,523.58","3,320,289.51"
支付其他与投资活动有关的现金,"3,089,500.33","1,545,575.24",,,,,"20,000,000.00",,,
收到其他与经营活动有关的现金,"38,920,024.67","47,161,748.41","59,014,893.44","4,769,960.05","27,524,464.22","25,877,679.07","41,127,057.36","19,558,123.75","28,087,419.37","47,131,409.40"
投资活动现金流出小计,"48,118,789.03","11,761,903.51","11,260,747.01","21,206,479.64","22,437,718.36","25,159,026.24","203,769,753.14","147,003,020.59","137,303,302.28","143,616,282.51"
经营活动现金流入小计,"2,485,930,660.39","2,447,684,365.19","2,302,562,546.04","609,985,396.84","1,024,668,014.49","1,501,063,804.01","1,965,279,043.21","502,731,529.08","905,567,968.76","1,324,053,731.70"
投资活动产生的现金流量净额,"-23,971,208.19","-10,813,642.25","-10,304,227.26","-21,206,209.64","-22,231,372.36","-24,939,580.24","-201,857,294.48","-144,960,913.09","-147,999,627.69","-151,581,059.23"
购买商品、接受劳务支付的现金,"1,317,297,917.36","1,125,203,755.66","1,205,186,083.90","416,416,361.16","523,045,144.57","875,876,560.64","1,023,225,571.44","211,291,626.36","353,560,945.79","599,430,323.21"
吸收投资收到的现金,,,"4,900,000.00",,"466,037,330.00","466,037,330.00","466,037,330.00",,,
支付给职工以及为职工支付的现金,"561,143,066.07","565,666,153.78","565,075,129.58","134,125,765.98","260,900,381.89","382,383,993.74","520,641,878.75","131,427,610.24","252,820,074.64","370,676,218.34"
取得借款收到的现金,"1,150,210,207.83","883,384,755.65","714,104,271.28","194,332,776.62","309,271,657.21","401,060,074.70","413,753,232.52","601,859.49","2,466,272.46","2,466,272.46"
支付的各项税费,"211,984,947.72","214,543,778.30","197,588,998.76","38,749,315.37","93,607,146.35","120,017,897.81","155,909,074.93","52,753,953.50","79,858,649.01","108,993,539.19"
收到其他与筹资活动有关的现金,"7,704,689.60","16,442,792.04",,,,,"1,750,383.74",,,
支付其他与经营活动有关的现金,"278,561,535.42","289,281,589.10","293,761,778.45","74,697,620.50","151,175,781.48","197,757,667.38","269,405,643.66","68,730,899.57","111,186,282.35","162,981,043.42"
筹资活动现金流入小计,"1,157,914,897.43","899,827,547.69","719,004,271.28","194,332,776.62","775,308,987.21","867,097,404.70","881,540,946.26","601,859.49","2,466,272.46","2,466,272.46"
经营活动现金流出小计,"2,368,987,466.56","2,194,695,276.84","2,261,611,990.69","663,989,063.01","1,028,728,454.29","1,576,036,119.57","1,969,182,168.78","464,204,089.67","797,425,951.79","1,242,081,124.16"
偿还债务支付的现金,"1,076,460,894.81","1,147,666,673.15","739,690,039.89","84,990,583.54","242,565,285.75","544,959,925.76","563,433,176.96","1,649,493.00","2,246,225.71","4,580,588.18"
经营活动产生的现金流量净额,"116,943,193.83","252,989,088.35","40,950,555.35","-54,003,666.17","-4,060,439.80","-74,972,315.56","-3,903,125.57","38,527,439.41","108,142,016.97","81,972,607.54"
分配股利、利润或偿还利息支付的现金,"69,123,906.50","68,115,150.06","28,979,620.23","2,061,913.39","4,354,234.82","5,968,252.89","6,087,173.78","10,978.14","56,539,324.42","56,546,023.33"
收回投资收到的现金,"23,000,000.00",,,,,,,"700,000.00",,
支付其他与筹资活动有关的现金,"14,560,151.09","1,251,350.00","3,445,157.48","315,858.36","952,021.36","557,095.01","7,294,923.51","165,321.59","165,321.59","165,321.59"
取得投资收益收到的现金,"698,071.69","60,750.00",,,,,"1,120,748.66","847,007.50","4,032,822.22","6,571,503.98"
筹资活动现金流出小计,"1,160,144,952.40","1,217,033,173.21","772,114,817.60","87,368,355.29","247,871,541.93","551,485,273.66","576,815,274.25","1,825,792.73","58,950,871.72","61,291,933.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"449,509.14","887,511.26","956,519.75",270.00,"206,346.00","219,446.00","791,710.00","495,100.00","564,523.89","757,390.82"
筹资活动产生的现金流量净额,"-2,230,054.97","-317,205,625.52","-53,110,546.32","106,964,421.33","527,437,445.28","315,612,131.04","304,725,672.01","-1,223,933.24","-56,484,599.26","-58,825,660.64"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,"-15,293,671.52","-15,293,671.52"
四、汇率变动对现金的影响,"-2,223,560.78","926,669.02","-1,378,640.67","1,638,963.77","-5,867,046.98","-8,044,353.20","1,943,609.88","1,949,856.64","-3,001,624.54","-1,446,563.39"
收到其他与投资活动有关的现金,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"24,147,580.83","948,261.26","956,519.75",270.00,"206,346.00","219,446.00","1,912,458.66","2,042,107.50","-10,696,325.41","-7,964,776.72"
五、现金及现金等价物净增加额,"88,518,369.89","-74,103,510.40","-23,842,858.90","33,393,509.29","495,278,586.14","207,655,882.04","100,908,861.84","-105,707,550.28","-99,343,834.52","-129,880,675.72"
购建固定资产、无形资产和其他长期资产支付的现金,"22,029,288.70","10,216,328.27","11,260,747.01","21,206,479.64","22,437,718.36","25,159,026.24","27,119,753.14","6,503,020.59","7,043,302.28","7,396,282.51"
期初现金及现金等价物余额,"100,337,074.12","188,855,444.01","114,751,933.61","96,557,000.30","90,909,074.72","90,909,074.72","90,909,074.72","191,817,936.56","191,817,936.56","191,817,936.56"
投资支付的现金,"23,000,000.00",,,,,,"156,650,000.00","140,500,000.00","130,260,000.00","136,220,000.00"
期末现金及现金等价物余额,"188,855,444.01","114,751,933.61","90,909,074.71","129,950,509.59","586,187,660.86","298,564,956.76","191,817,936.56","86,110,386.28","92,474,102.04","61,937,260.84"
