科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"160,415,751.22","213,418,916.64","204,725,355.92","170,047,386.54","309,821,093.73","85,820,137.99","257,334,594.39","432,023,061.06","677,861,621.99","134,439,843.59","294,371,795.50","442,993,672.27","578,998,851.26","55,237,865.64"
二、营业利润,"33,352,987.73","56,983,152.31","44,368,794.80","34,829,088.69","68,241,344.32","22,042,876.95","68,449,787.04","112,402,653.18","151,066,109.28","35,663,339.12","85,593,662.47","126,636,216.81","148,087,458.59","5,245,984.38"
减:营业成本,"82,467,013.72","104,527,211.38","105,389,273.69","86,469,054.27","165,465,699.91","43,785,595.21","137,891,275.65","241,563,502.21","374,516,620.31","73,040,270.41","175,625,891.98","269,018,998.20","348,259,340.86","33,203,514.94"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"1,595,143.07","2,105,667.37","2,133,662.56","1,552,893.09","2,988,797.25","772,144.07","2,311,850.30","3,610,761.51","5,678,018.28","1,256,762.40","2,626,646.96","3,754,260.69","4,719,628.41","540,114.73"
营业外收入,"10,181,663.71","12,126,304.93","14,228,560.90","9,135,569.04","13,004,119.98","8,113,633.65","9,542,266.41","9,542,266.41","28,611,842.76","6,419,999.46",650.07,650.07,,
销售费用,"17,070,434.36","19,608,272.29","18,325,631.21","15,629,461.45","22,569,827.30","5,056,907.28","15,405,585.74","26,113,625.85","48,910,566.83","8,673,278.70","20,739,713.25","31,601,592.66","46,258,731.10","7,127,975.77"
减:营业外支出,"20,207.63","151,643.20","279,607.38",395.80,395.80,,,,,,,"1,200.00","27,638.82",
管理费用,"25,270,951.55","29,779,797.74","31,299,713.72","30,071,602.81","44,256,124.67","14,240,253.37","28,125,743.54","39,393,300.48","66,752,615.91","10,516,394.14","32,806,280.43","44,492,630.07","70,059,790.25","13,002,802.13"
其中:非流动资产处置净损失,"1,693.74",,517.51,395.80,395.80,,,,,,,,,
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"-38,252.50","-84,910.38","-719,786.09","-532,744.58","-669,552.94","-86,114.16","-137,502.60","-326,223.92","-667,594.78","320,357.35","-1,395,526.80","-1,718,983.44","-1,689,968.72","352,773.31"
三、利润总额,"43,514,443.81","68,957,814.04","58,317,748.32","43,964,261.93","81,245,068.50","30,156,510.60","77,992,053.45","121,944,919.59","179,677,952.04","42,083,338.58","85,594,312.54","126,635,666.88","148,059,819.77","5,245,984.38"
资产减值损失,"872,988.37","499,725.93","3,928,066.03","2,028,030.81","6,968,853.22","8,475.27","5,287,854.72","9,265,441.75","31,605,286.16","4,969,441.47","-3,449,893.93","-5,778,622.69","2,567,428.09","-1,262,221.17"
减:所得税,"3,678,709.94","9,637,002.58","7,629,462.42","5,322,611.28","10,305,966.66","4,357,498.84","10,356,681.43","15,981,850.53","24,403,277.94","7,511,089.66","14,753,706.28","19,681,158.41","19,791,381.58","1,589,609.24"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,"175,515.08",,,,,,,,,,"-15,894.25","-15,853.93","-15,854.25","-618,020.94"
四、净利润,"39,835,733.87","59,320,811.46","50,688,285.90","38,641,650.65","70,939,101.84","25,799,011.76","67,635,372.02","105,963,069.06","155,274,674.10","34,572,248.92","70,840,606.26","106,954,508.47","128,268,438.19","3,656,375.14"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,"-15,894.25","-15,853.93","-15,854.25","-618,020.94"
归属于母公司所有者的净利润,"39,835,733.87","59,320,811.46","50,688,285.90","38,641,650.65","70,939,101.84","25,799,011.76","67,635,372.02","105,963,069.06","155,274,674.10","34,572,248.92","70,840,606.26","106,954,508.47","128,268,438.19","3,656,375.14"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,
