科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"592,035,033.84","680,279,124.91","764,298,453.02","600,988,932.81","815,135,218.63","171,076,129.30","390,950,569.55","598,849,945.64","817,138,490.83","192,980,081.69","431,575,184.73","669,759,131.35","917,320,051.22","188,978,576.09"
二、营业利润,"114,497,800.57","141,424,633.25","155,218,577.34","123,594,517.12","175,166,908.86","35,526,192.53","87,572,321.97","135,024,930.59","194,741,713.05","39,960,779.93","90,830,138.33","134,134,354.18","181,973,960.43","21,570,924.23"
减:营业成本,"397,961,390.18","451,457,525.43","507,344,300.00","395,253,980.96","530,399,641.32","107,470,977.55","245,277,738.92","377,791,409.30","514,380,295.21","125,501,140.56","283,848,849.75","444,238,752.76","616,424,206.22","137,761,738.81"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"4,522,547.23","5,211,308.94","5,537,202.24","4,928,799.93","6,836,031.83","1,859,419.53","3,718,452.96","5,520,825.60","8,718,149.11","2,078,425.90","4,722,669.26","7,208,841.75","9,726,134.02","2,157,126.18"
营业外收入,"1,372,947.74","13,689,709.69","6,904,226.94","3,417,502.57","5,632,903.77","822,053.03","3,148,369.38","5,976,521.51","10,513,554.58","937,577.04","4,026,161.39","6,769,148.79","3,835,062.99","571,000.00"
销售费用,"20,623,101.94","22,613,974.58","25,775,467.33","19,573,019.91","27,582,087.08","5,519,352.99","14,391,115.70","21,883,478.89","30,493,690.48","6,657,743.37","16,607,256.72","25,033,569.70","34,360,596.23","7,468,962.40"
减:营业外支出,"483,439.66","557,933.12","300,032.07","249,928.70","534,393.03","30,301.70","111,305.43","111,873.17","508,143.41",,,"7,589.42",317.60,"50,000.00"
管理费用,"51,191,513.33","57,283,294.84","64,310,143.53","56,623,415.77","74,659,073.11","18,062,546.46","37,986,041.24","58,501,181.99","76,917,795.66","18,068,433.39","37,565,750.62","56,237,477.43","76,874,965.26","18,427,697.81"
其中:非流动资产处置净损失,"402,416.06","551,638.01","259,907.07","248,900.47","489,464.80",,"81,003.73","99,920.80","496,191.04",,,"7,271.82",,
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"3,498,431.19","7,718,369.41","991,159.62","-600,137.83","-1,162,821.66","2,599,469.66","-846,919.91","-2,086,862.62","-9,688,047.09","398,844.33","5,406,972.10","10,772,667.27","15,721,604.28","5,121,549.20"
三、利润总额,"115,387,308.65","154,556,409.82","161,822,772.21","126,762,090.99","180,265,419.60","36,317,943.86","90,609,385.92","140,889,578.93","204,747,124.22","40,898,356.97","94,856,299.72","140,895,913.55","185,808,705.82","22,091,924.23"
资产减值损失,"739,839.40","-243,722.54","4,927,042.22","1,593,956.95","475,274.63","10,555.58","2,579,948.67","1,925,861.89","7,710,645.80","314,714.21","-630,943.82","137,402.61","2,374,188.05","-1,572,538.06"
减:所得税,"17,737,012.60","20,333,065.92","22,275,506.06","17,561,789.15","25,294,344.09","5,004,836.20","12,429,733.65","19,027,572.08","28,589,508.55","7,042,975.40","13,083,332.20","19,465,432.78","25,394,789.79","3,367,527.60"
加:公允价值变动净收益,"290,500.00","-424,000.00","481,200.00","-857,000.00","-1,654,650.00","613,010.00","658,920.00","928,650.00","928,650.00",,,,"574,140.00","-574,140.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,"709,090.00","5,610,259.00","-675,760.74","835,620.00","475,626.54","-640,625.00","-930,790.00","-1,217,770.00","5,207,101.39",,"6,312,034.84","7,446,281.42","14,737,990.33","1,067,540.00"
四、净利润,"97,650,296.05","134,223,343.90","139,547,266.15","109,200,301.84","154,971,075.51","31,313,107.66","78,179,652.27","121,862,006.85","176,157,615.67","33,855,381.57","81,772,967.52","121,430,480.77","160,413,916.03","18,724,396.63"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"97,650,296.05","134,223,343.90","139,547,266.15","109,200,301.84","154,971,075.51","31,313,107.66","78,179,652.27","121,862,006.85","176,157,615.67","33,855,381.57","81,772,967.52","121,430,480.77","160,413,916.03","18,724,396.63"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,
