科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"164,006,354.92","180,763,250.28","292,680,572.88","49,889,022.87","173,008,605.47","269,539,995.12","489,830,101.70"
二、营业利润,"24,812,956.87","10,815,919.30","33,946,769.29","-1,619,869.23","15,065,792.59","28,415,590.30","44,602,440.65"
减:营业成本,"96,864,837.81","116,866,329.67","194,240,782.53","35,382,331.82","114,029,634.76","179,746,133.57","366,302,076.22"
加:补贴收入,,,,,,,
营业税金及附加,"1,432,624.20","1,715,920.58","2,843,566.63","504,878.89","1,841,836.43","3,300,290.50","5,204,764.10"
营业外收入,"8,386,388.54","16,442,370.43","17,558,688.79","5,584,017.66","9,116,469.03","16,032,183.47","11,984,746.86"
销售费用,"9,513,965.47","11,962,019.25","13,615,374.76","3,985,065.45","9,172,384.69","16,405,396.74","22,222,482.73"
减:营业外支出,"5,837.38","12,909.89","101,277.71","14,818.66","15,724.90","20,183.11","20,721.43"
管理费用,"26,388,541.87","28,560,175.78","32,083,799.68","9,937,526.61","24,138,217.40","33,070,235.71","46,834,434.77"
其中:非流动资产处置净损失,"4,284.38",,,,,,
堪探费用,,,,,,,
加:影响利润总额的其他科目,,,,,,,
财务费用,"3,957,529.12","5,910,847.49","6,303,827.44","1,490,090.01","2,988,993.38","4,256,275.61","5,614,408.76"
三、利润总额,"33,193,508.03","27,245,379.84","51,404,180.37","3,949,329.77","24,166,536.72","44,427,590.66","56,566,466.08"
资产减值损失,"1,035,899.58","4,932,038.21","9,646,452.55","208,999.32","5,771,746.22","11,842,599.13","16,643,428.14"
减:所得税,"6,181,930.94","3,304,715.99","8,286,473.32","309,407.69","2,686,788.41","4,949,823.39","9,062,504.62"
加:公允价值变动净收益,,,,,,,
加:影响净利润的其他科目,,,,,,,
投资收益,,,,,,,
四、净利润,"27,011,577.09","23,940,663.85","43,117,707.05","3,639,922.08","21,479,748.31","39,477,767.27","47,503,961.46"
其中:对联营企业和合营企业的投资权益,,,,,,,
归属于母公司所有者的净利润,"27,011,577.09","23,940,663.85","43,117,707.05","3,639,922.08","21,479,748.31","39,536,627.04","47,464,629.65"
影响营业利润的其他科目,,,,,,,
少数股东损益,,,,,,"-58,859.77","39,331.81"
