科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,140,550,670.85","3,121,412,803.86","3,259,075,999.62","749,150,694.91","1,472,576,343.18","1,874,179,430.72","2,351,765,060.59","513,763,705.82","1,321,908,579.57","1,934,728,068.65","2,135,758,504.47","195,474,718.85","458,621,232.29","617,545,453.22","735,320,969.53","167,222,632.60","355,595,731.14","512,100,572.10","716,445,161.19","185,409,299.64","433,009,412.27","654,658,409.10","823,557,207.98","380,556,238.19","822,469,967.82","1,181,811,418.22"
取得子公司及其他营业单位支付的现金净额,,"61,655,196.61",,,,,,,,,,,"9,229,200.00","9,228,750.00","9,017,126.38",,,,"15,570,507.81",,,"464,007,548.86","464,007,548.86",,"94,736,842.11","94,736,842.11"
收到的税费返还,"370,069.22","1,851,217.03","9,355,029.02","707,672.56","9,349,108.90","11,120,291.79","10,955,469.68",,"3,788,884.01","12,111,116.60","9,277,324.40","14,611,168.96","42,919,193.14","49,744,456.66","47,373,831.58","1,865,537.83","7,867,897.56","23,492,608.58","28,650,544.45","3,977,176.78","12,866,870.43","13,512,353.47","13,235,530.14","4,284,698.02","9,404,014.54","14,139,767.08"
支付其他与投资活动有关的现金,"437,417,075.70","569,543,583.28","583,048,520.71","180,837,912.53","1,550,000,000.00","1,590,018,610.69","2,261,452,711.43","154,880,134.93","646,321,154.95","1,101,117,980.96","911,450,300.23","998,214,590.06","1,656,517,978.85","2,881,095,796.51","1,914,109,809.01","1,630,177,246.15","2,373,746,264.64","5,510,689,036.59","319,940,166.73","94,209,998.56","367,702,004.66","368,334,127.08","245,206,158.55","76,336,151.97","143,748,919.39","725,273,996.16"
收到其他与经营活动有关的现金,"8,680,067.07","16,203,254.69","78,252,581.21","89,957,388.29","363,810,899.43","624,652,762.04","259,296,498.79","22,729,557.94","11,504,228.06","58,990,283.84","26,348,870.32","49,299,391.56","48,995,829.47","78,380,910.24","54,833,728.25","2,478,974.45","17,674,153.21","25,738,455.27","23,975,251.81","17,575,664.72","18,261,726.37","29,842,182.98","34,543,852.05","16,358,571.23","4,020,049.13","14,999,041.72"
投资活动现金流出小计,"471,391,988.99","948,776,198.14","745,350,955.32","202,761,139.53","1,602,867,350.17","1,669,558,079.17","2,407,190,299.95","208,110,681.42","761,618,752.42","1,298,508,785.92","1,141,076,870.33","1,054,031,199.14","1,772,236,801.27","3,042,526,277.81","2,180,381,541.40","1,656,091,248.50","2,406,764,994.66","5,572,936,021.08","1,615,711,687.90","240,154,107.87","439,928,072.75","941,190,370.29","4,926,048,722.84","212,895,152.87","1,284,846,628.85","2,472,884,694.58"
经营活动现金流入小计,"1,149,600,807.14","3,139,467,275.58","3,346,683,609.85","839,815,755.76","1,845,736,351.51","2,509,952,484.55","2,622,017,029.06","536,493,263.76","1,337,201,691.64","2,005,829,469.09","2,171,384,699.19","259,385,279.37","550,536,254.90","745,670,820.12","837,528,529.36","171,567,144.88","381,137,781.91","561,331,635.95","769,070,957.45","206,962,141.14","464,138,009.07","698,012,945.55","871,336,590.17","401,199,507.44","835,894,031.49","1,210,950,227.02"
投资活动产生的现金流量净额,"-230,867,296.32","-582,337,436.88","-397,009,344.99","-107,973,103.08","-1,516,974,070.77","-1,554,343,590.82","-1,782,946,191.52","-122,070,688.55","-521,727,034.39","-751,287,947.53","-349,216,633.27","365,588,457.96","-35,588,770.34","-19,782,706.59","-55,647,683.96","-42,590,236.13","386,907,191.12","184,988,542.96","177,039,567.30","1,223,035.11","-201,482,174.22","-85,477,719.23","-66,523,855.98","-94,619,688.18","-111,447,418.03","-287,855,772.78"
购买商品、接受劳务支付的现金,"689,470,624.82","2,162,893,360.86","2,144,994,568.42","231,081,008.32","840,450,194.08","1,185,717,878.54","1,372,126,979.28","220,475,690.67","610,235,254.87","1,070,971,979.17","1,283,658,857.13","247,092,783.99","487,165,498.13","618,825,184.95","576,624,525.75","101,388,253.00","224,905,217.13","312,383,141.57","434,104,392.65","116,606,087.09","226,033,654.02","385,741,782.87","462,095,988.05","183,349,236.26","432,131,503.61","754,927,001.75"
吸收投资收到的现金,"1,800,000.00","266,800,000.00","100,000,000.00","2,070,772,740.00","2,070,772,740.00","2,070,772,740.00","2,070,772,740.00",,,,,,,"2,000,000.00","2,000,000.00",,,,,"9,880,000.00","14,880,000.00","14,880,000.00","14,880,000.00",,,
