科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"65,226,227.08","71,069,021.40","48,902,328.87","34,790,332.47","40,330,254.35","35,820,142.83","236,139,545.77","189,830,207.75","158,060,797.04","145,807,546.12","203,401,144.01","174,388,745.98","162,557,182.55","165,602,196.71","187,610,791.27","141,014,897.34","92,379,038.09","93,539,871.98","104,391,806.76","98,183,662.15"
短期借款,,,,,,,,,,,,,,,,,,,,"11,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"17,586,164.75","17,073,077.00","31,007,907.42","13,403,419.38","10,983,235.00","17,159,089.75","41,970,487.49","26,482,350.60","16,786,332.81","6,022,030.00","25,739,856.43","30,050,014.00","31,380,186.47","14,995,002.41","21,430,851.40","24,706,512.62","28,155,575.51","29,412,690.84","32,152,154.30","40,577,782.22"
应付票据,,,,,,"1,326,842.10","8,511,252.75","16,446,633.57","19,640,390.57","12,905,000.00","9,551,000.00","8,260,000.00","7,366,816.00","6,422,396.00","8,638,791.62","13,042,668.25","17,679,456.63",,,
应收账款,"18,450,299.57","35,590,651.40","46,662,335.31","41,449,025.25","48,444,752.55","56,929,454.16","68,065,178.21","54,762,725.21","66,814,178.70","86,796,475.21","102,704,893.20","103,194,412.85","99,828,258.87","113,040,191.40","143,952,315.44","134,661,992.15","158,220,079.25","154,593,587.58","113,309,205.75","211,871,440.67"
应付账款,"14,901,886.28","22,006,267.13","27,683,989.94","17,392,430.84","21,151,611.16","43,665,964.02","48,186,661.91","44,565,078.78","51,332,389.46","47,629,074.20","66,162,545.74","62,463,593.25","73,119,541.87","89,086,990.53","104,462,681.00","76,844,597.03","58,154,487.35",,"63,644,590.72",
预付款项,"2,543,246.26","2,640,334.58","6,851,702.14","10,698,885.02","7,290,759.13","7,380,554.87","2,250,944.90","5,920,716.60","3,066,475.32","2,527,822.49","3,350,826.27","5,252,626.15","4,258,978.55","6,171,832.82","3,929,275.04","1,927,083.44","2,246,239.36","4,870,768.14","3,394,102.20","5,896,709.56"
预收款项,"711,335.38","1,545,094.57","6,020,097.44","1,646,514.13","3,187,379.29","3,643,683.52","8,912,574.65","13,567,073.19","4,861,019.20","4,691,424.61","806,848.06","489,396.99","935,692.19","1,327,260.92","1,466,944.11","609,094.04","858,056.16","661,929.72","931,979.65","1,371,680.84"
其他应收款,"368,717.24","1,374,009.94","1,257,803.57","2,049,843.03","2,062,391.18","2,120,781.14","4,603,035.96","4,513,289.44","5,141,875.64","4,809,875.75","2,931,923.33","2,997,676.28","3,352,411.34","3,649,856.42","2,849,678.76","23,589,462.42","29,056,888.47","28,739,614.32","28,316,847.61","6,305,632.38"
