科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"151,760,115.09","190,836,791.49","289,785,506.99","118,686,566.51","176,372,007.70","243,382,292.85","63,990,009.83","141,587,156.15","252,557,862.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"9,454,244.89","8,086,967.82","34,951,523.48","11,337,290.30","15,728,909.96","20,113,783.10","13,847,776.40","22,229,396.34","31,316,473.56"
支付其他与投资活动有关的现金,,,,,,,,,"200,000.00"
收到其他与经营活动有关的现金,"1,910,813.57","1,930,592.81","5,669,222.84","1,171,516.12","1,457,894.24","4,368,793.87","1,705,207.45","4,969,732.73","8,423,589.54"
投资活动现金流出小计,"863,974.84","212,970.56","1,230,150.67","2,721,441.12","3,645,865.40","3,627,244.80","300,299,763.67","602,647,983.82","953,603,238.82"
经营活动现金流入小计,"163,125,173.55","200,854,352.12","330,406,253.31","131,195,372.93","193,558,811.90","267,864,869.82","79,542,993.68","168,786,285.22","292,297,925.44"
投资活动产生的现金流量净额,"13,461,069.00","-212,970.56","-1,230,150.67","-2,721,441.12","-3,645,865.40","-3,627,244.80","-300,299,763.67","-299,720,586.56","-297,639,403.21"
购买商品、接受劳务支付的现金,"97,476,474.35","89,174,849.18","168,186,734.48","51,796,312.40","80,447,685.38","111,291,959.39","68,762,042.75","124,333,944.62","171,942,380.77"
吸收投资收到的现金,,,,,,,"542,268,960.00","542,268,960.00","542,268,960.00"
支付给职工以及为职工支付的现金,"13,824,807.00","18,430,831.36","27,503,128.63","21,841,437.26","30,166,526.00","38,609,116.96","14,677,380.80","29,074,238.05","41,703,963.90"
取得借款收到的现金,,"10,000,000.00",,,,,,"15,994,190.61","51,329,354.95"
支付的各项税费,"4,955,733.36","11,309,656.88","24,537,436.51","6,959,466.93","12,658,582.06","17,041,228.50","8,349,896.79","13,008,208.35","19,184,872.14"
收到其他与筹资活动有关的现金,,,,,,,,"1,669,700.00","1,669,700.00"
支付其他与经营活动有关的现金,"10,981,765.10","14,767,878.88","16,282,542.45","10,697,832.85","14,956,070.56","20,184,616.20","10,560,843.92","18,417,328.11","22,935,991.04"
筹资活动现金流入小计,,"10,000,000.00",,,,,"542,268,960.00","559,932,850.61","595,268,014.95"
经营活动现金流出小计,"127,238,779.81","133,683,216.30","236,509,842.07","91,295,049.44","138,228,864.00","187,126,921.05","102,350,164.26","184,833,719.13","255,767,207.85"
偿还债务支付的现金,,"10,000,000.00",,,,,,"5,590,191.91","61,509,091.42"
经营活动产生的现金流量净额,"35,886,393.74","67,171,135.82","93,896,411.24","39,900,323.49","55,329,947.90","80,737,948.77","-22,807,170.58","-16,047,433.91","36,530,717.59"
分配股利、利润或偿还利息支付的现金,"10,423,059.79","31,191,833.33","43,096,500.00","72,000,000.00","72,000,000.00","72,000,000.00",,"64,001,414.64","64,152,575.37"
收回投资收到的现金,,,,,,,,"300,000,000.00","650,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,,"5,357,351.20","5,357,351.20"
取得投资收益收到的现金,"325,043.84",,,,,,,"2,927,397.26","5,963,835.61"
筹资活动现金流出小计,"10,423,059.79","41,191,833.33","43,096,500.00","72,000,000.00","72,000,000.00","72,000,000.00",,"74,948,957.75","131,019,017.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,
筹资活动产生的现金流量净额,"-10,423,059.79","-31,191,833.33","-43,096,500.00","-72,000,000.00","-72,000,000.00","-72,000,000.00","542,268,960.00","484,983,892.86","464,248,996.96"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-2,014,173.06","399,993.51","3,335,310.39","1,808,271.43","2,605,848.65","7,390,550.43","-835,952.04","-2,833,292.03","-5,837,823.56"
收到其他与投资活动有关的现金,"14,000,000.00",,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"14,325,043.84",,,,,,,"302,927,397.26","655,963,835.61"
五、现金及现金等价物净增加额,"36,910,229.89","36,166,325.44","52,905,070.96","-33,012,846.20","-17,710,068.85","12,501,254.40","218,326,073.71","166,382,580.36","197,302,487.78"
购建固定资产、无形资产和其他长期资产支付的现金,"863,974.84","212,970.56","1,230,150.67","2,721,441.12","3,645,865.40","3,627,244.80","299,763.67","2,647,983.82","3,403,238.82"
期初现金及现金等价物余额,"7,863,235.29","44,773,465.18","80,939,790.62","133,844,861.58","133,844,861.58","133,844,861.58","146,346,115.98","146,346,115.98","146,346,115.98"
投资支付的现金,,,,,,,"300,000,000.00","600,000,000.00","950,000,000.00"
期末现金及现金等价物余额,"44,773,465.18","80,939,790.62","133,844,861.58","100,832,015.38","116,134,792.73","146,346,115.98","364,672,189.69","312,728,696.34","343,648,603.76"
