科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"425,176,384.32","400,624,919.56","496,467,783.65","242,516,872.36",,"508,006,833.99","123,811,564.44","237,076,882.62","368,791,249.50","503,816,282.61","133,043,166.40","251,927,072.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"54,161,245.64","40,895,076.72","41,880,986.73","15,719,138.83",,"44,064,076.50","4,055,196.42","19,637,117.27","35,866,643.59","53,142,540.23","21,206,518.93","29,502,467.42"
支付其他与投资活动有关的现金,,,,,,,"34,520.55","271,000,000.00","535,000,000.00","651,000,000.00","159,000,000.00","200,000,000.00"
收到其他与经营活动有关的现金,"1,758,512.05","5,690,748.94","4,777,097.25","2,343,463.56",,"8,245,703.80","4,346,344.10","10,608,641.91","10,712,546.96","9,603,364.94","1,332,911.40","1,931,791.01"
投资活动现金流出小计,"6,713,836.23","11,608,520.85","40,810,222.74","18,560,022.90",,"167,381,550.79","197,981,862.53","275,978,704.32","544,405,460.49","671,256,885.13","161,988,317.02","216,229,419.29"
经营活动现金流入小计,"481,096,142.01","447,210,745.22","543,125,867.63","260,579,474.75",,"560,316,614.29","132,213,104.96","267,322,641.80","415,370,440.05","566,562,187.78","155,582,596.73","283,361,330.76"
投资活动产生的现金流量净额,"-6,713,836.23","-11,602,755.20","-40,795,410.75","-18,557,416.06","-91,095,400.00","-167,369,806.35","-197,833,712.53","-2,657,819.04","-205,893,014.39","-41,267,267.74","-118,787,823.87","-131,472,832.87"
购买商品、接受劳务支付的现金,"331,888,155.61","305,734,239.00","350,952,782.14","161,666,393.66",,"339,798,932.69","89,010,689.54","181,786,622.56","282,077,920.36","431,935,032.31","86,317,797.07","193,039,144.19"
吸收投资收到的现金,,,,,,"300,926,226.42",,,,,,
支付给职工以及为职工支付的现金,"57,569,020.56","74,992,817.15","90,132,963.32","58,748,382.80",,"108,025,203.48","40,013,567.46","69,824,400.70","98,445,140.15","126,831,920.37","45,569,972.82","78,577,584.03"
取得借款收到的现金,,,"29,114,612.65","9,211,626.08",,"83,551,626.08",,,,,,
支付的各项税费,"12,243,140.06","11,133,087.10","10,156,484.34","5,713,822.78",,"14,187,789.53","9,827,739.91","6,223,531.91","15,616,707.45","9,926,996.55","6,478,810.37","3,864,281.92"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"23,355,827.94","24,141,653.56","28,228,803.31","15,255,133.31",,"32,839,389.84","12,458,790.32","17,829,299.67","28,216,609.68","34,539,434.13","13,985,683.28","19,727,849.05"
筹资活动现金流入小计,,,"29,114,612.65","9,211,626.08",,"384,477,852.50",,,,,,
经营活动现金流出小计,"425,056,144.17","416,001,796.81","479,471,033.11","241,383,732.55",,"494,851,315.54","151,310,787.23","275,663,854.84","424,356,377.64","603,233,383.36","152,352,263.54","295,208,859.19"
偿还债务支付的现金,,,,,,,"78,326,238.73","78,326,238.73","78,326,238.73","112,666,238.73",,
经营活动产生的现金流量净额,"56,039,997.84","31,208,948.41","63,654,834.52","19,195,742.20","40,649,700.00","65,465,298.75","-19,097,682.27","-8,341,213.04","-8,985,937.59","-36,671,195.58","3,230,333.19","-11,847,528.43"
分配股利、利润或偿还利息支付的现金,"10,000,000.00",,,"20,808,056.25",,"21,850,334.39",,"16,383,562.96","16,383,566.71","18,249,782.97",,"6,480,000.00"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"5,880,000.00",,,,,
取得投资收益收到的现金,,,,,,,,"2,192,620.33","2,384,142.69","5,849,724.24","200,493.15","414,957.35"
筹资活动现金流出小计,"10,000,000.00",,,"20,808,056.25",,"21,850,334.39","84,206,238.73","94,709,801.69","94,709,805.44","130,916,021.70",,"6,480,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"5,765.65","14,811.99","2,606.84",,"11,744.44","148,150.00","128,264.95","128,303.41","139,893.15",,"341,629.07"
筹资活动产生的现金流量净额,"-10,000,000.00",,"29,114,612.65","-11,596,430.17","-12,131,900.00","362,627,518.11","-84,206,238.73","-94,709,801.69","-94,709,805.44","-130,916,021.70",,"-6,480,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-4,089,648.83","587,487.37","2,055,184.11","375,675.00",,"1,404,678.14","-772,754.62","-62,930.43","-531,491.68","644,744.93","219,858.33","164,986.94"
收到其他与投资活动有关的现金,,,,,,,,"271,000,000.00","336,000,000.00","624,000,000.00","43,000,000.00","84,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,,"5,765.65","14,811.99","2,606.84",,"11,744.44","148,150.00","273,320,885.28","338,512,446.10","629,989,617.39","43,200,493.15","84,756,586.42"
五、现金及现金等价物净增加额,"35,236,512.78","20,193,680.58","54,029,220.53","-10,582,429.03","-61,924,500.00","262,127,688.65","-301,910,388.15","-105,771,764.20","-310,120,249.10","-208,209,740.09","-115,337,632.35","-149,635,374.36"
购建固定资产、无形资产和其他长期资产支付的现金,"6,713,836.23","11,608,520.85","40,810,222.74","18,560,022.90",,"167,381,550.79","2,947,341.98","4,978,704.32","9,405,460.49","20,256,885.13","2,988,317.02","16,229,419.29"
期初现金及现金等价物余额,"80,775,764.88","116,012,277.66","136,205,958.24","190,235,178.77",,"190,235,178.77","452,356,848.04","452,362,867.42","452,362,867.42","452,362,867.42","244,153,127.33","244,153,127.33"
投资支付的现金,,,,,,,"195,000,000.00",,,,,
期末现金及现金等价物余额,"116,012,277.66","136,205,958.24","190,235,178.77","179,652,749.74",,"452,362,867.42","150,446,459.89","346,591,103.22","142,242,618.32","244,153,127.33","128,815,494.98","94,517,752.97"
