科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"210,665,883.51","250,873,120.68","252,906,328.66","116,638,170.82","179,121,640.11","279,157,895.28","52,492,666.76","115,760,083.19","188,284,549.87"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"4,365,360.20"
收到的税费返还,"8,666,072.03","11,361,284.73","10,727,999.00","4,283,811.41","6,352,995.53","8,821,072.57","1,464,768.77","3,336,629.49","4,380,171.69"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"18,920,900.44","11,038,114.45","21,217,049.91","14,097,410.40","19,104,182.39","21,130,857.79","1,414,040.67","12,811,769.01","18,301,999.62"
投资活动现金流出小计,"22,705,629.93","7,865,484.53","18,043,337.07","27,920,316.08","41,717,990.42","213,506,995.11","6,613,688.20","170,126,706.24","470,998,292.69"
经营活动现金流入小计,"238,252,855.98","273,272,519.86","284,851,377.57","135,019,392.63","204,578,818.03","309,109,825.64","55,371,476.20","131,908,481.69","210,966,721.18"
投资活动产生的现金流量净额,"-22,705,629.93","-7,865,484.53","-17,986,337.07","-27,920,316.08","-41,717,990.42","-213,506,995.11","-4,609,775.82","15,337,344.68","-948,365.16"
购买商品、接受劳务支付的现金,"132,281,320.62","160,345,198.32","152,956,351.16","82,758,640.47","150,507,470.38","200,932,789.63","56,434,416.80","138,989,923.97","197,949,417.32"
吸收投资收到的现金,,"2,730,600.00",,,,"289,060,000.00",,,
支付给职工以及为职工支付的现金,"27,001,216.30","32,777,706.09","38,975,133.92","24,789,430.65","35,596,666.80","45,547,735.99","18,413,677.95","30,075,063.25","40,965,483.73"
取得借款收到的现金,"45,912,839.00","53,569,000.00","47,970,000.00","71,465,000.00","105,448,000.00","127,516,000.00","10,500,000.00","39,749,000.00","55,174,000.00"
支付的各项税费,"26,850,031.64","38,512,695.70","31,855,489.38","13,266,426.97","21,927,021.51","28,806,477.42","6,888,051.04","12,691,789.45","19,408,482.34"
收到其他与筹资活动有关的现金,"6,648,240.00","6,350,870.00","8,797,000.00","2,764,000.00","7,137,000.00","9,465,000.00","39,412.85","6,472,000.00","6,472,000.00"
支付其他与经营活动有关的现金,"39,633,332.76","29,576,353.31","41,377,163.03","29,408,247.94","45,332,173.73","55,372,854.67","13,058,460.49","28,965,268.95","42,637,410.32"
筹资活动现金流入小计,"52,561,079.00","62,650,470.00","56,767,000.00","74,229,000.00","112,585,000.00","426,041,000.00","10,539,412.85","46,221,000.00","61,646,000.00"
经营活动现金流出小计,"225,765,901.32","261,211,953.42","265,164,137.49","150,222,746.03","253,363,332.42","330,659,857.71","94,794,606.28","210,722,045.62","300,960,793.71"
偿还债务支付的现金,"28,875,708.70","47,858,579.00","38,210,000.00","24,630,000.00","45,770,000.00","126,920,000.00","25,269,306.65","36,923,000.00","39,508,000.00"
经营活动产生的现金流量净额,"12,486,954.66","12,060,566.44","19,687,240.08","-15,203,353.40","-48,784,514.39","-21,550,032.07","-39,423,130.08","-78,813,563.93","-89,994,072.53"
分配股利、利润或偿还利息支付的现金,"6,937,522.51","9,347,560.88","12,038,047.96","1,402,716.90","2,536,902.03","4,027,067.41","512,312.29","12,279,369.10","13,720,560.45"
收回投资收到的现金,,,,,,,"2,000,000.00","182,000,000.00","465,309,400.00"
支付其他与筹资活动有关的现金,"6,231,042.78","3,597,000.00","8,764,000.00","6,902,222.02","11,935,420.53","17,936,062.01",,,
取得投资收益收到的现金,,,,,,,"3,912.38","2,123,041.14","3,399,517.75"
筹资活动现金流出小计,"42,044,273.99","60,803,139.88","59,012,047.96","32,934,938.92","60,242,322.56","148,883,129.42","25,781,618.94","49,202,369.10","53,228,560.45"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"57,000.00",,,,,,
筹资活动产生的现金流量净额,"10,516,805.01","1,847,330.12","-2,245,047.96","41,294,061.08","52,342,677.44","277,157,870.58","-15,242,206.09","-2,981,369.10","8,417,439.55"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"1,341,009.78","1,341,009.78"
四、汇率变动对现金的影响,"-35,131.97",,"29,128.63","-76,462.89","104,065.55",-365.35,,"-42,430.87","-58,229.28"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,,,"57,000.00",,,,"2,003,912.38","185,464,050.92","470,049,927.53"
五、现金及现金等价物净增加额,"262,997.77","6,042,412.03","-515,016.32","-1,906,071.29","-38,055,761.82","42,100,478.05","-59,275,111.99","-66,500,019.22","-82,583,227.42"
购建固定资产、无形资产和其他长期资产支付的现金,"22,705,629.93","7,865,484.53","18,043,337.07","27,920,316.08","41,717,990.42","56,506,995.11","6,613,688.20","10,126,706.24","12,192,932.49"
期初现金及现金等价物余额,"47,830,860.81","48,093,858.58","54,136,270.61","53,621,254.29","53,621,254.29","53,621,254.29","95,721,732.34","95,721,732.34","95,721,732.34"
投资支付的现金,,,,,,"157,000,000.00",,"160,000,000.00","454,440,000.00"
期末现金及现金等价物余额,"48,093,858.58","54,136,270.61","53,621,254.29","51,715,183.00","15,565,492.47","95,721,732.34","36,446,620.35","29,221,713.12","13,138,504.92"
