科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"319,719,973.86","415,803,865.06","347,079,046.89","86,646,051.46","158,703,497.94","240,566,970.00","332,819,539.99","67,411,508.33","110,989,699.55","239,261,742.71","355,812,743.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"18,101,181.71","6,291,142.43","27,802,923.87","3,294,274.90","24,040,521.51","28,367,691.29","38,210,708.39","2,436,566.85","2,926,742.91","16,998,954.51","32,318,745.35"
投资活动现金流出小计,"9,023,145.29","19,332,276.70","11,424,465.30","91,794.87","25,232,292.86","26,867,000.76","124,588,550.01","74,009,439.45","213,998,816.07","304,608,551.14","40,027,021.75"
经营活动现金流入小计,"337,821,155.57","422,095,007.49","374,881,970.76","89,940,326.36","182,744,019.45","268,934,661.29","371,030,248.38","69,848,075.18","113,916,442.46","256,260,697.22","388,131,488.64"
投资活动产生的现金流量净额,"-9,003,033.29","-19,332,276.70","-11,268,465.30","-91,794.87","-25,232,292.86","-26,866,764.76","-87,669,632.97","8,940,453.69","32,859,492.30","33,449,842.99","20,365,587.43"
购买商品、接受劳务支付的现金,"342,086,654.70","318,663,264.47","219,706,710.37","88,371,692.19","100,001,412.42","204,515,792.45","240,348,097.22","60,660,904.76","96,808,322.26","182,028,642.57","446,660,020.79"
吸收投资收到的现金,,,,,,"236,024,000.00","227,656,416.23",,,,
支付给职工以及为职工支付的现金,"20,496,486.26","19,501,436.55","19,991,677.22","7,668,660.17","10,816,442.29","15,294,406.34","19,882,601.44","5,139,240.92","10,907,780.87","16,716,217.76","24,839,790.79"
取得借款收到的现金,"110,990,000.00","104,000,000.00","79,000,000.00","8,000,000.00","18,000,000.00","18,000,000.00","28,000,000.00",,"15,000,000.00","15,000,000.00","105,000,000.00"
支付的各项税费,"7,976,309.02","20,219,338.89","24,410,232.54","11,791,427.02","12,353,684.02","25,566,606.10","22,357,739.16","3,473,788.22","11,415,280.65","12,999,353.96","11,984,015.01"
收到其他与筹资活动有关的现金,"64,988,757.01","1,125,598.48","10,561,320.11","5,624,883.53",,"10,824,782.00","26,878,773.88","2,670,763.41","16,531,506.73","16,531,506.73","23,157,370.30"
支付其他与经营活动有关的现金,"16,364,757.36","25,164,797.92","36,124,059.53","15,038,347.85","27,788,140.93","42,057,170.30","44,631,971.03","13,000,130.98","20,029,615.46","48,857,737.53","45,969,566.86"
筹资活动现金流入小计,"175,978,757.01","105,125,598.48","89,561,320.11","13,624,883.53","18,000,000.00","264,848,782.00","282,535,190.11","2,670,763.41","31,531,506.73","31,531,506.73","128,157,370.30"
经营活动现金流出小计,"386,924,207.34","383,548,837.83","300,232,679.66","122,870,127.23","150,959,679.66","287,433,975.19","327,220,408.85","82,274,064.88","139,160,999.24","260,601,951.82","529,453,393.45"
偿还债务支付的现金,"55,791,578.20","118,990,000.00","109,000,000.00",,"10,000,000.00","40,000,000.00","48,000,000.00",,"10,000,000.00","10,000,000.00","25,000,000.00"
经营活动产生的现金流量净额,"-49,103,051.77","38,546,169.66","74,649,291.10","-32,929,800.87","31,784,339.79","-18,499,313.90","43,809,839.53","-12,425,989.70","-25,244,556.78","-4,341,254.60","-141,321,904.81"
分配股利、利润或偿还利息支付的现金,"11,768,035.16","8,758,787.59","16,125,959.41","956,422.83","1,452,269.31","4,992,023.47","5,134,969.30","251,695.83","580,887.49","14,164,106.84","15,765,315.76"
收回投资收到的现金,,,,,,,"36,500,000.00","82,500,000.00","245,200,000.00","336,200,000.00","58,000,000.00"
支付其他与筹资活动有关的现金,"58,788,951.79",,"23,610,801.96",,"6,717,823.10","10,289,197.66","43,664,393.38",,"27,708,013.24","62,465,288.53","11,967,062.92"
取得投资收益收到的现金,,,,,,,"32,269.30","449,893.14","891,826.29","1,091,912.05","1,294,613.42"
筹资活动现金流出小计,"126,348,565.15","127,748,787.59","148,736,761.37","956,422.83","18,170,092.41","55,281,221.13","96,799,362.68","251,695.83","38,288,900.73","86,629,395.37","52,732,378.68"
处置固定资产、无形资产和其他长期资产收回的现金净额,"20,112.00",,"156,000.00",,,236.00,"386,647.74",,"766,482.08","766,482.08","1,097,995.76"
筹资活动产生的现金流量净额,"49,630,191.86","-22,623,189.11","-59,175,441.26","12,668,460.70","-170,092.41","209,567,560.87","185,735,827.43","2,419,067.58","-6,757,394.00","-55,097,888.64","75,424,991.62"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"20,112.00",,"156,000.00",,,236.00,"36,918,917.04","82,949,893.14","246,858,308.37","338,058,394.13","60,392,609.18"
五、现金及现金等价物净增加额,"-8,475,893.20","-3,409,296.15","4,205,384.54","-20,353,135.04","6,381,954.52","164,201,482.21","141,876,033.99","-1,066,468.43","857,541.52","-25,989,300.25","-45,531,325.76"
购建固定资产、无形资产和其他长期资产支付的现金,"9,023,145.29","19,332,276.70","11,424,465.30","91,794.87","25,232,292.86","26,867,000.76","30,088,550.01","1,809,439.45","5,298,816.07","8,908,551.14","20,027,021.75"
期初现金及现金等价物余额,"36,638,097.35","28,162,204.15","24,752,908.00","28,958,292.54","28,958,292.54","28,958,292.54","28,958,292.54","170,834,326.53","170,834,326.53","170,834,326.53","170,834,326.53"
投资支付的现金,,,,,,,"94,500,000.00","72,200,000.00","208,700,000.00","295,700,000.00","20,000,000.00"
期末现金及现金等价物余额,"28,162,204.15","24,752,908.00","28,958,292.54","8,605,157.50","35,340,247.06","193,159,774.75","170,834,326.53","169,767,858.10","171,691,868.05","144,845,026.28","125,303,000.77"
