科目,2013年度,2014年度,2015年度,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"612,887,912.10","622,241,464.01","680,021,045.30","326,892,333.94","670,622,530.02","177,268,015.59","331,001,159.62","527,391,417.39","720,126,315.04","189,776,094.64"
二、营业利润,"133,650,052.79","113,559,157.78","118,536,195.35","68,098,019.78","121,686,862.51","35,106,658.26","59,192,399.25","91,082,626.39","124,513,089.10","29,440,594.05"
减:营业成本,"412,230,363.21","427,264,073.36","467,548,812.90","207,447,080.85","447,440,664.70","116,559,056.73","224,854,578.51","365,424,945.29","504,810,020.91","134,659,182.38"
加:补贴收入,,,,,,,,,,
营业税金及附加,"6,141,486.00","4,851,479.17","4,905,154.16","2,783,609.04","8,421,518.06","2,581,429.66","4,448,159.11","7,249,345.95","9,790,802.18","2,495,511.90"
营业外收入,"2,105,459.87","5,434,504.11","2,914,878.33","369,110.95","1,238,088.13","439,149.51","760,797.69","1,284,899.53","1,006,206.89","690,109.67"
销售费用,"25,146,087.05","33,981,848.87","38,050,281.32","21,669,846.01","45,462,309.81","8,338,505.72","18,161,459.81","30,962,546.31","45,110,069.64","12,721,069.19"
减:营业外支出,"214,805.71","154,774.98","542,856.71","185,948.27","626,535.03",800.00,"19,467.18","258,806.95","38,919.35","3,919.55"
管理费用,"34,105,263.29","41,123,308.66","48,152,119.02","21,846,494.42","43,065,267.17","11,279,940.02","23,451,420.58","34,125,517.58","45,110,864.84","10,656,164.01"
其中:非流动资产处置净损失,"19,286.71","144,144.31","431,882.64","166,963.54","567,248.87",,,"235,739.77",,
堪探费用,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,
财务费用,"-425,711.15","-830,176.82","-2,017,570.07","-717,486.66","-2,180,001.65","-433,303.13","-2,352,606.72","-3,393,935.95","-9,427,827.45","-3,575,013.26"
三、利润总额,"135,540,706.95","118,838,886.91","120,908,216.97","68,281,182.46","122,298,415.61","35,545,007.77","59,933,729.76","92,108,718.97","125,480,376.64","30,126,784.17"
资产减值损失,"2,040,370.91","2,619,231.88","5,959,703.68","7,000,922.69","9,822,310.02","4,236,989.29","3,918,618.26","4,059,091.00","6,214,089.35","3,488,162.11"
减:所得税,"34,483,161.49","30,398,045.31","30,764,637.36","17,121,697.50","30,861,561.17","9,305,149.94","15,167,456.37","23,251,944.90","31,857,974.73","7,888,728.25"
加:公允价值变动净收益,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,
投资收益,,"327,458.89","1,113,651.06","1,236,152.19","3,096,400.60","401,260.96","672,869.18","2,118,719.18","5,205,420.32",
四、净利润,"101,057,545.46","88,440,841.60","90,143,579.61","51,159,484.96","91,436,854.44","26,239,857.83","44,766,273.39","68,856,774.07","93,622,401.91","22,238,055.92"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,
归属于母公司所有者的净利润,"101,057,545.46","88,440,841.60","90,143,579.61","51,159,484.96","91,436,854.44","26,239,857.83","44,766,273.39","68,856,774.07","93,622,401.91","22,238,055.92"
影响营业利润的其他科目,,,,,,,,,,
少数股东损益,,,,,,,,,,
