科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"314,596,069.72","362,643,900.70","464,828,748.53","226,752,090.65","325,794,798.73","563,006,167.10","80,517,198.78","185,034,093.39","272,325,048.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"5,371,506.94","11,447,287.79","22,421,782.91","21,520,203.84","30,491,449.53","37,487,251.43","11,128,948.06","24,811,297.05","39,070,968.05"
投资活动现金流出小计,"4,260,209.00","4,512,877.00","3,428,739.18","3,412,314.36","4,762,790.36","108,414,176.86","3,575,063.30","31,374,688.00","39,440,521.04"
经营活动现金流入小计,"319,967,576.66","374,091,188.49","487,250,531.44","248,272,294.49","356,286,248.26","600,493,418.53","91,646,146.84","209,845,390.44","311,396,016.28"
投资活动产生的现金流量净额,"-3,895,409.39","-4,305,787.56","-2,570,252.70","-3,344,870.50","-4,674,554.62","-108,249,034.91","97,423,249.80","69,766,323.94","61,800,210.34"
购买商品、接受劳务支付的现金,"254,066,788.27","236,082,200.60","305,832,732.49","176,053,721.13","286,719,979.84","409,382,957.83","127,489,497.59","208,622,090.25","307,139,426.49"
吸收投资收到的现金,,,,,,"204,980,000.00",,,
支付给职工以及为职工支付的现金,"42,602,420.17","65,039,807.02","91,211,821.49","27,954,063.81","37,899,487.40","52,920,386.42","11,714,450.43","26,707,676.56","40,908,002.31"
取得借款收到的现金,"32,000,000.00","34,000,000.00","32,000,000.00","24,000,000.00","42,000,000.00","51,000,000.00",,,"18,000,000.00"
支付的各项税费,"24,463,892.13","22,461,458.46","27,350,120.06","20,551,843.00","29,405,517.25","34,227,975.86","10,965,987.25","18,316,263.89","25,234,602.66"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"17,277,892.50","24,792,137.40","29,345,170.69","33,294,210.23","42,201,824.45","58,059,627.85","19,020,721.44","33,844,217.81","53,673,492.10"
筹资活动现金流入小计,"32,000,000.00","34,000,000.00","32,000,000.00","24,000,000.00","42,000,000.00","255,980,000.00",,,"18,000,000.00"
经营活动现金流出小计,"338,410,993.07","348,375,603.48","453,739,844.73","257,853,838.17","396,226,808.94","554,590,947.96","169,190,656.71","287,490,248.51","426,955,523.56"
偿还债务支付的现金,"15,000,000.00","32,000,000.00","34,000,000.00","14,000,000.00","32,000,000.00","56,000,000.00",,,"27,000,000.00"
经营活动产生的现金流量净额,"-18,443,416.41","25,715,585.01","33,510,686.71","-9,581,543.68","-39,940,560.68","45,902,470.57","-77,544,509.87","-77,644,858.07","-115,559,507.28"
分配股利、利润或偿还利息支付的现金,"17,090,833.32","15,270,424.93","18,205,404.27","17,273,318.51","17,737,068.53","18,282,993.53","293,625.00","8,733,775.00","9,022,506.25"
收回投资收到的现金,"16,447.49",,,,,,"100,000,000.00","100,000,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"10,900,000.00",,,
取得投资收益收到的现金,,,,,,,"900,000.00","900,000.00","900,000.00"
筹资活动现金流出小计,"32,090,833.32","47,270,424.93","52,205,404.27","31,273,318.51","49,737,068.53","85,182,993.53","293,625.00","8,733,775.00","36,022,506.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"255,498.77","110,000.00","766,387.59","4,891.26","4,891.26","8,085.26",944.00,"15,060.00","16,888.00"
筹资活动产生的现金流量净额,"-90,833.32","-13,270,424.93","-20,205,404.27","-7,273,318.51","-7,737,068.53","170,797,006.47","-293,625.00","-8,733,775.00","-18,022,506.25"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,
收到其他与投资活动有关的现金,"92,853.35","97,089.44","92,098.89","62,552.60","83,344.48","157,056.69","97,369.10","225,951.94","323,843.38"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"364,799.61","207,089.44","858,486.48","67,443.86","88,235.74","165,141.95","100,998,313.10","101,141,011.94","101,240,731.38"
五、现金及现金等价物净增加额,"-22,429,659.12","8,139,372.52","10,735,029.74","-20,199,732.69","-52,352,183.83","108,450,442.13","19,585,114.93","-16,612,309.13","-71,781,803.19"
购建固定资产、无形资产和其他长期资产支付的现金,"4,260,209.00","4,512,877.00","3,428,739.18","3,412,314.36","4,762,790.36","8,414,176.86","3,575,063.30","31,374,688.00","39,440,521.04"
期初现金及现金等价物余额,"61,726,487.29","39,296,828.17","47,436,200.69","58,171,230.43","58,171,230.43","58,171,230.43","166,621,672.56","166,621,672.56","166,621,672.56"
投资支付的现金,,,,,,"100,000,000.00",,,
期末现金及现金等价物余额,"39,296,828.17","47,436,200.69","58,171,230.43","37,971,497.74","5,819,046.60","166,621,672.56","186,206,787.49","150,009,363.43","94,839,869.37"
