科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"288,099,906.56","341,395,810.36","321,082,588.97","384,663,515.95","857,821,783.99","1,238,945,486.25","415,509,185.57","797,778,196.03","1,145,389,091.39","1,577,594,242.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,"9,232,684.70","53,770.40",,,,,,,,
支付其他与投资活动有关的现金,,"1,080,219.01","5,443,571.48",,,,,,,"37,200,000.00"
收到其他与经营活动有关的现金,"11,795,131.40","15,660,858.57","20,967,317.67","5,529,274.86","14,080,969.01","24,911,856.50","6,794,824.18","25,067,952.87","43,840,330.05","70,030,824.12"
投资活动现金流出小计,"19,982,631.46","22,395,891.80","54,141,349.90","11,406,226.37","66,978,605.75","161,901,882.20","49,231,482.51","1,585,016,841.85","2,681,099,514.96","4,266,697,161.67"
经营活动现金流入小计,"309,127,722.66","357,110,439.33","342,049,906.64","390,192,790.81","871,902,753.00","1,263,857,342.75","422,304,009.75","822,846,148.90","1,189,229,421.44","1,647,625,066.55"
投资活动产生的现金流量净额,"-18,705,676.07","-21,214,834.69","-53,431,085.40","-11,317,287.65","-66,516,979.81","-161,617,973.70","-48,269,936.26","-1,259,270,030.43","-1,678,857,384.53","-1,735,697,047.44"
购买商品、接受劳务支付的现金,"1,220,131.09","6,964,891.98","12,222,482.17","17,545,067.33","32,953,837.34","29,967,363.01","23,749,098.91","52,639,397.11","82,356,595.71","111,992,483.89"
吸收投资收到的现金,,,"5,590,000.00",,,"908,775,800.00",,"80,387,373.64","80,387,373.64","80,387,373.64"
支付给职工以及为职工支付的现金,"55,954,743.83","77,954,927.52","82,632,513.17","58,129,467.47","103,467,734.51","164,364,412.35","159,101,542.96","213,563,547.86","273,553,132.87","319,755,459.30"
取得借款收到的现金,,,,,,,"46,170,000.00","137,500,000.00","137,500,000.00","137,500,000.00"
支付的各项税费,"38,067,542.86","36,306,946.22","35,395,405.88","29,046,922.52","68,246,508.99","136,788,435.66","73,275,443.82","122,745,068.39","154,385,613.23","228,240,703.12"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"28,886,921.84","32,098,043.28","25,161,949.74","31,266,262.37","63,804,147.36","140,369,528.88","54,270,197.30","97,159,526.90","140,085,145.38","178,688,935.00"
筹资活动现金流入小计,,,"5,590,000.00",,,"908,775,800.00","46,170,000.00","217,887,373.64","217,887,373.64","217,887,373.64"
经营活动现金流出小计,"124,129,339.62","153,324,809.00","155,412,350.96","135,987,719.69","268,472,228.20","471,489,739.90","310,396,282.99","486,107,540.26","650,380,487.19","838,677,581.31"
偿还债务支付的现金,"2,978,572.08","2,978,572.08","2,978,572.08","1,489,286.04","2,233,929.06","2,978,572.08","2,113,848.31","7,977,023.87","15,387,094.84","22,573,970.47"
经营活动产生的现金流量净额,"184,998,383.04","203,785,630.33","186,637,555.68","254,205,071.12","603,430,524.80","792,367,602.85","111,907,726.76","336,738,608.64","538,848,934.25","808,947,485.24"
分配股利、利润或偿还利息支付的现金,"20,798,228.83","60,596,029.49","30,378,153.44","45,115,847.74","45,161,457.03","45,198,279.00","64,391,146.54","357,685,052.38","399,226,471.28","400,680,216.94"
收回投资收到的现金,,,,,,,"948,361.25","321,848,361.25","990,548,361.25","2,503,520,000.00"
支付其他与筹资活动有关的现金,"271,088,699.00",,,,"380,000.00","800,170.53","8,260,000.00","8,569,226.50","8,569,226.50","8,569,226.50"
取得投资收益收到的现金,,,"700,000.00",,,,,"3,818,803.57","11,614,122.58","26,433,900.43"
筹资活动现金流出小计,"294,865,499.91","63,574,601.57","33,356,725.52","46,605,133.78","47,775,386.09","48,977,021.61","74,764,994.85","374,231,302.75","423,182,792.62","431,823,413.91"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,276,955.39","1,181,057.11","10,264.50","88,938.72","461,625.94","283,908.50","13,185.00","79,646.60","79,646.60","97,852.55"
筹资活动产生的现金流量净额,"-294,865,499.91","-63,574,601.57","-27,766,725.52","-46,605,133.78","-47,775,386.09","859,798,778.39","-28,594,994.85","-156,343,929.11","-205,295,418.98","-213,936,040.27"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,"948,361.25"
四、汇率变动对现金的影响,"-14,367.34","12,091.14","71,985.26","265,240.67","1,142,964.53","8,949,083.33","-1,624,843.09","-6,378,164.18","-10,723,749.50","-15,421,524.49"
收到其他与投资活动有关的现金,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"1,276,955.39","1,181,057.11","710,264.50","88,938.72","461,625.94","283,908.50","961,546.25","325,746,811.42","1,002,242,130.43","2,531,000,114.23"
五、现金及现金等价物净增加额,"-128,587,160.28","119,008,285.21","105,511,730.02","196,547,890.36","490,281,123.43","1,499,497,490.87","33,417,952.56","-1,085,253,515.08","-1,356,027,618.76","-1,156,107,126.96"
购建固定资产、无形资产和其他长期资产支付的现金,"9,982,631.46","9,315,672.79","28,479,378.42","11,406,226.37","62,478,605.75","155,573,955.20","49,231,482.51","181,134,839.85","298,596,620.13","320,323,401.67"
期初现金及现金等价物余额,"348,508,137.90","219,920,977.62","338,929,262.83","444,440,992.85","444,440,992.85","444,440,992.85","1,943,938,483.72","1,943,938,483.72","1,943,938,483.72","1,943,938,483.72"
投资支付的现金,"10,000,000.00","12,000,000.00","20,218,400.00",,"4,500,000.00","6,327,927.00",,"1,403,882,002.00","2,382,502,894.83","3,909,173,760.00"
期末现金及现金等价物余额,"219,920,977.62","338,929,262.83","444,440,992.85","640,988,883.21","934,722,116.28","1,943,938,483.72","1,977,356,436.28","858,684,968.64","587,910,864.96","787,831,356.76"
