科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,541,868,002.24","2,225,440,832.48","2,019,076,971.54","1,003,175,619.07","1,793,192,630.40","2,800,766,966.65","905,215,937.31","1,653,486,683.20","2,605,014,675.07","3,663,651,804.41","612,302,895.34"
二、营业利润,"116,498,850.95","71,381,704.35","72,550,086.26","20,013,444.51","40,343,320.71","109,239,699.56","52,174,860.25","73,322,484.87","106,327,721.99","152,772,130.02","42,962,071.65"
减:营业成本,"1,311,339,625.68","1,988,313,439.80","1,791,246,791.64","915,930,683.20","1,651,203,200.80","2,514,082,786.91","798,766,667.10","1,472,875,812.50","2,328,522,718.91","3,278,287,742.29","552,621,041.19"
加:补贴收入,,,,,,,,,,,
营业税金及附加,"3,541,861.53","4,795,956.50","4,614,838.54","1,424,539.57","2,511,990.30","4,860,750.42","1,680,292.91","3,562,337.42","5,429,867.49","7,033,445.92","1,247,191.71"
营业外收入,"1,075,227.38","1,653,645.54","5,486,415.66","434,329.49","1,775,581.52","2,197,476.68","2,459,327.02","6,278,069.94","12,608,869.66","22,874,609.22","50,579.90"
销售费用,"13,955,856.48","17,283,061.88","18,460,027.49","8,216,753.09","13,410,409.89","22,248,992.94","6,590,110.71","11,368,824.65","18,282,967.72","32,782,287.37","4,042,993.64"
减:营业外支出,"28,187.95","581,121.42","1,254,600.32",199.55,"103,364.35","128,111.37","149,490.51","166,398.78","571,314.15","741,463.12","51,900.82"
管理费用,"81,225,377.00","122,713,704.21","124,717,236.69","47,456,947.66","72,578,523.15","124,195,889.94","37,113,710.30","74,832,658.98","118,541,008.06","178,113,213.54","27,005,623.73"
其中:非流动资产处置净损失,,"325,213.78","1,120,507.82",,"42,641.59","64,405.18",377.40,"4,637.30","408,612.57",,
堪探费用,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,
财务费用,"5,164,940.71","12,808,992.65","4,849,383.67","886,179.55","3,422,117.61","11,454,906.76","6,627,680.20","13,084,667.00","22,900,392.11","35,871,755.72","-7,225,708.50"
三、利润总额,"117,545,890.38","72,454,228.47","76,781,901.60","20,447,574.45","42,015,537.88","111,309,064.87","54,484,696.76","79,434,156.03","118,365,277.50","174,905,276.12","42,960,750.73"
资产减值损失,"10,141,489.89","8,144,746.42","2,638,607.25","9,247,071.49","9,723,067.94","14,683,940.12","2,262,615.84","4,439,897.78","5,511,779.61","7,612,240.66","441,444.25"
减:所得税,"17,827,138.29","8,251,561.79","6,438,529.05","-1,731,898.56","1,819,311.67","13,661,234.81","8,074,518.32","7,285,963.58","13,025,581.07","25,689,870.47","6,788,416.68"
加:公允价值变动净收益,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,
投资收益,,773.33,,,,,,,"501,780.82","1,782,967.17","565,939.72"
四、净利润,"99,718,752.09","64,202,666.68","70,343,372.55","22,179,473.01","40,196,226.21","97,647,830.06","46,410,178.44","72,148,192.45","105,339,696.43","149,215,405.65","36,172,334.05"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,
归属于母公司所有者的净利润,"99,718,752.09","64,202,666.68","70,343,372.55","22,179,473.01","40,196,226.21","97,647,830.06","46,410,178.44","72,148,192.45","105,339,696.43","149,215,405.65","36,172,334.05"
影响营业利润的其他科目,,,,,,,,,,,
少数股东损益,,,,,,,,,,,
