科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"789,166,684.73","902,110,420.12","1,710,841,686.24","820,417,336.96","1,580,577,222.48","2,244,105,034.49"
二、营业利润,"57,440,866.98","70,514,847.15","138,085,450.55","68,484,543.43","127,060,037.61","199,164,065.59"
减:营业成本,"573,332,260.28","671,919,041.48","1,290,777,644.02","643,174,735.03","1,205,269,302.78","1,695,711,110.75"
加:补贴收入,,,,,,
营业税金及附加,"2,947,156.56","2,756,669.48","8,171,744.62","5,618,053.69","9,514,823.45","12,547,037.64"
营业外收入,"3,333,782.72","3,955,802.98","4,609,507.79","421,808.42","5,062,349.28","5,721,092.25"
销售费用,"58,526,238.50","53,258,347.70","107,512,561.09","42,797,823.38","102,386,538.30","140,994,974.09"
减:营业外支出,"3,202,714.12","10,577,359.15","13,205,891.13","10,000.01","21,340.68","77,576.58"
管理费用,"77,746,574.42","88,838,874.55","139,376,595.21","48,924,883.56","130,000,165.14","190,329,319.21"
其中:非流动资产处置净损失,"673,197.40","129,905.01","331,525.04",,,
堪探费用,,,,,,
加:影响利润总额的其他科目,,,,,,
财务费用,"17,938,586.93","15,750,502.60","13,820,486.53","3,531,027.94","1,759,320.81","3,115,478.42"
三、利润总额,"57,571,935.58","63,893,290.98","129,489,067.21","68,896,351.84","132,101,046.21","204,807,581.26"
资产减值损失,"1,235,001.06","-927,862.84","13,097,204.22","7,886,269.93","4,587,034.39","2,243,048.79"
减:所得税,"10,084,681.83","11,324,270.31","15,816,153.63","13,462,329.74","23,176,522.09","35,012,893.02"
加:公允价值变动净收益,,,,,,
加:影响净利润的其他科目,,,,,,
投资收益,,,,,,
四、净利润,"47,487,253.75","52,569,020.67","113,672,913.58","55,434,022.10","108,924,524.12","169,794,688.24"
其中:对联营企业和合营企业的投资权益,,,,,,
归属于母公司所有者的净利润,"47,487,253.75","52,569,020.67","113,672,913.58","55,434,022.10","108,924,524.12","169,794,688.24"
影响营业利润的其他科目,,,,,,
少数股东损益,,,,,,
