科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"477,806,692.18","528,857,739.72","671,690,714.10","562,616,392.11","737,289,644.39","180,406,546.79","393,471,143.10","618,462,089.58","786,738,116.15","181,053,253.75","396,719,576.94","594,307,237.50","862,783,265.23","280,180,047.86","571,306,563.03","880,958,405.67","1,223,241,655.39","259,413,427.34"
二、营业利润,"45,737,717.04","51,325,960.28","56,869,447.69","51,227,707.88","64,146,819.16","17,177,802.59","33,259,575.01","54,480,939.27","72,984,242.27","15,965,191.00","36,763,398.78","55,211,036.02","77,306,964.73","24,875,181.22","46,926,542.21","70,033,331.88","95,225,647.95","20,154,540.32"
减:营业成本,"385,868,633.80","429,677,241.99","555,738,346.41","468,797,640.52","614,088,763.96","149,157,440.91","330,040,119.42","522,469,561.11","657,389,310.95","150,278,550.68","330,070,421.18","495,992,024.53","719,914,979.39","238,730,953.58","483,010,005.44","743,517,070.51","1,034,031,967.34","217,036,780.86"
加:补贴收入,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,861,865.41","1,038,004.59","1,538,068.69","1,757,934.88","2,071,181.90","562,155.49","1,270,816.09","1,996,298.47","3,020,327.73","628,745.57","1,097,474.07","1,738,701.75","3,339,067.32","1,197,750.51","1,810,609.92","3,445,136.33","4,110,048.27","1,633,487.22"
营业外收入,"515,911.65","938,230.41","581,456.00","181,600.00","266,015.59",,,"673,434.48","918,085.42","5,640,342.11","5,781,732.58","5,862,466.58","6,072,466.58",,"187,301.49","408,487.79","363,411.46","1,429.94"
销售费用,"9,332,917.59","11,400,592.10","15,766,229.92","12,197,748.13","16,740,630.53","3,924,045.33","9,697,280.36","15,213,660.25","21,864,891.41","6,462,305.23","13,618,214.18","20,287,858.25","29,491,719.16","6,758,014.03","16,282,743.68","24,972,214.36","34,577,261.20","6,783,761.17"
减:营业外支出,"802,526.55","652,076.74","614,249.19","467,931.97","621,948.12",,"80,520.60","13,569.00","524,205.59","27,571.37","34,986.52","47,475.21","117,749.40","5,191.64","157,019.72","210,801.66","411,900.76","246,764.72"
管理费用,"21,578,577.56","24,134,769.69","29,850,366.05","26,515,344.79","38,390,089.21","9,059,198.81","18,418,348.31","28,480,781.97","38,635,696.67","7,653,665.26","16,378,876.01","25,647,914.03","37,788,367.52","9,130,904.29","21,644,274.27","34,457,575.94","48,955,013.45","9,462,932.42"
其中:非流动资产处置净损失,"140,591.83",,,"15,596.60","17,340.12",,,"3,569.00","3,569.00",,,,"40,002.71",,,393.63,,
堪探费用,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,
财务费用,"14,643,279.18","9,622,924.31","10,118,122.39","1,238,281.21","1,326,715.33","-256,973.59","-845,972.91","-3,378,132.01","-4,146,695.75","464,569.45","-726,296.35","-1,295,822.45","-6,225,493.98","2,769.85","2,540,858.48","5,186,264.80","8,392,130.26","6,101,942.64"
三、利润总额,"45,451,102.14","51,612,113.95","56,836,654.50","50,941,375.91","63,790,886.63","17,177,802.59","33,179,054.41","55,140,804.75","73,378,122.10","21,577,961.74","42,510,144.84","61,026,027.39","83,261,681.91","24,869,989.58","46,956,823.98","70,231,018.01","95,177,158.65","19,909,205.54"
资产减值损失,"-1,216,298.40","1,658,246.76","1,810,132.95","914,900.81","686,735.49","782,877.25","2,079,735.44","849,840.48","186,875.44","1,047,826.32","2,638,802.55","999,621.74","4,428,153.63","-42,166.02","-178,010.01","538,031.23","301,754.10","-1,641,452.54"
减:所得税,"5,684,010.30","7,412,837.67","7,572,814.69","7,944,933.24","8,961,667.80","2,445,481.75","5,041,213.61","8,376,565.99","9,877,788.38","3,292,604.63","6,497,201.51","9,345,077.28","10,719,569.36","3,789,415.59","7,201,976.01","10,745,904.89","11,692,832.86","3,069,145.70"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,
投资收益,,,,"33,166.11","161,291.19",,"448,758.62","1,650,859.96","3,196,532.57","1,447,599.76","3,121,313.48","4,274,096.37","3,260,492.54","473,359.60","730,460.96","1,191,219.38","788,036.18","92,765.76"
四、净利润,"39,767,091.84","44,199,276.28","49,263,839.81","42,996,442.67","54,829,218.83","14,732,320.84","28,137,840.80","46,764,238.76","63,500,333.72","18,285,357.11","36,012,943.33","51,680,950.11","72,542,112.55","21,080,573.99","39,754,847.97","59,485,113.12","83,484,325.79","16,840,059.84"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"39,767,091.84","44,199,276.28","49,263,839.81","42,996,442.67","54,829,218.83","14,732,320.84","28,137,840.80","46,764,238.76","63,500,333.72","18,285,357.11","36,012,943.33","51,680,950.11","72,542,112.55","21,080,573.99","39,754,847.97","59,485,113.12","83,484,325.79","16,840,059.84"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,
