科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,786,187,568.49","2,220,201,063.13","2,561,220,630.51","1,439,422,245.79","2,091,870,677.76","2,996,503,422.30","804,153,467.66","1,641,457,825.46","2,438,447,121.04"
二、营业利润,"123,635,531.08","161,290,239.84","136,302,075.74","121,774,756.34","152,741,162.68","210,460,667.26","54,917,179.12","126,051,834.16","168,872,332.75"
减:营业成本,"1,290,094,443.52","1,611,704,310.37","1,867,605,703.16","1,044,922,546.07","1,528,369,193.44","2,183,840,038.36","583,413,903.80","1,205,461,937.05","1,807,916,741.50"
加:补贴收入,,,,,,,,,
营业税金及附加,"11,995,916.07","15,993,390.87","20,187,369.47","10,531,730.41","15,148,110.56","25,467,661.11","9,054,967.68","16,165,515.46","24,510,944.39"
营业外收入,"16,217,694.32","11,300,801.69","32,913,226.03","12,776,339.51","15,176,475.79","22,462,634.79","4,290,971.46","9,262,377.30","12,308,447.63"
销售费用,"265,732,278.74","315,696,199.43","402,097,044.48","197,357,943.56","294,749,818.85","424,495,782.42","124,257,682.37","223,233,129.62","336,943,214.39"
减:营业外支出,"1,780,357.99","1,436,458.00","1,134,049.19","895,824.28","935,606.54","1,842,733.86","3,987.53","133,769.57","334,443.68"
管理费用,"83,509,007.36","106,065,670.87","127,288,718.10","63,576,157.28","96,584,941.85","144,526,213.00","31,973,277.03","75,838,875.94","108,830,201.29"
其中:非流动资产处置净损失,,,,,"860,588.25","1,702,735.27",264.53,"95,708.51","281,186.73"
堪探费用,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,
财务费用,"5,110,660.27","9,357,397.75","8,757,868.69","1,908,036.51","4,017,957.53","6,285,888.85","1,531,746.95","1,422,795.84","3,008,490.37"
三、利润总额,"138,072,867.41","171,154,583.53","168,081,252.58","133,655,271.57","166,982,031.93","231,080,568.19","59,204,163.05","135,180,441.89","180,846,336.70"
资产减值损失,"6,069,157.56","93,854.00","-1,018,149.13","-648,924.38","259,492.85","1,427,171.30","-995,289.29","3,663.86","782,513.36"
减:所得税,"34,009,139.03","40,863,391.28","39,737,727.68","32,035,539.20","39,634,793.84","53,673,472.39","14,197,111.12","31,582,078.46","41,743,674.12"
加:公允价值变动净收益,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,
投资收益,"-40,573.89",,,,,,,"1,932,990.43","5,457,787.84"
四、净利润,"104,063,728.38","130,291,192.25","128,343,524.90","101,619,732.37","127,347,238.09","177,407,095.80","45,007,051.93","103,598,363.43","139,102,662.58"
其中:对联营企业和合营企业的投资权益,,,,,,,,,
归属于母公司所有者的净利润,"104,063,728.38","130,291,192.25","128,343,524.90","101,619,732.37","127,347,238.09","177,407,095.80","45,007,051.93","103,598,363.43","139,102,662.58"
影响营业利润的其他科目,,,,,,,,,
少数股东损益,,,,,,,,,
