科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"272,530,951.48","313,724,778.11","321,634,561.58","162,275,122.20","271,902,441.98","393,969,737.64","74,481,066.55","179,766,201.09","264,365,581.64","377,233,779.93"
二、营业利润,"47,863,400.69","59,524,719.79","52,890,344.58","23,646,140.01","36,968,065.04","49,482,664.95","8,013,865.72","20,168,054.68","27,276,055.94","46,600,579.96"
减:营业成本,"173,507,631.26","196,659,227.75","201,977,959.60","104,105,809.33","181,448,823.56","271,530,055.59","54,821,544.39","127,811,889.19","189,126,466.15","263,875,100.41"
加:补贴收入,,,,,,,,,,
营业税金及附加,"2,039,026.88","2,416,508.16","2,214,837.25","907,058.13","1,525,692.27","2,221,157.39","325,530.85","1,359,893.11","1,852,780.51","3,175,751.67"
营业外收入,"12,585,656.49","17,965,257.25","17,558,961.04","5,965,798.98","9,416,115.35","13,296,116.23","2,023,277.43","4,553,581.22","6,926,569.61","7,327,712.44"
销售费用,"19,815,943.61","23,719,370.61","26,975,428.05","14,317,716.97","21,381,454.46","29,413,495.21","4,320,610.83","11,173,789.87","16,725,606.37","23,705,447.81"
减:营业外支出,"331,122.23","157,169.94","354,483.25","1,459.50","1,959.50","1,959.83",,,,"34,228.35"
管理费用,"22,683,534.93","23,527,570.58","28,962,356.11","14,582,451.58","21,972,786.25","32,637,652.13","6,837,904.45","18,468,881.08","27,662,486.21","38,448,376.19"
其中:非流动资产处置净损失,"37,239.23",,"184,731.80",,,,,,,
堪探费用,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,
财务费用,"1,626,037.53","2,557,459.66","2,771,324.82","1,365,992.36","2,240,065.11","2,839,854.06","470,657.84","958,261.21","1,655,750.91","2,595,752.57"
三、利润总额,"60,117,934.95","77,332,807.10","70,094,822.37","29,610,479.49","46,382,220.89","62,776,821.35","10,037,143.15","24,721,635.90","34,202,625.55","53,894,064.05"
资产减值损失,"4,995,376.58","5,319,921.56","5,842,311.17","3,349,953.82","6,365,555.29","6,193,565.16","877,325.12","5,620,661.17","8,037,384.14","9,673,185.32"
减:所得税,"8,320,444.50","11,624,848.74","10,817,259.94","5,333,869.89","6,942,799.60","9,718,074.01","1,508,816.20","3,735,455.12","5,243,226.25","7,728,288.52"
加:公允价值变动净收益,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,
投资收益,,,,,,"348,706.85","1,186,372.65","2,579,058.40","3,763,505.42","4,603,225.22"
四、净利润,"51,797,490.45","65,707,958.36","59,277,562.43","24,276,609.60","39,439,421.29","53,058,747.34","8,528,326.95","20,986,180.78","28,959,399.30","46,165,775.53"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,
归属于母公司所有者的净利润,"51,797,490.45","65,861,739.09","59,501,307.31","24,635,612.79","39,621,351.61","52,812,653.25","8,628,179.68","21,021,846.24","28,974,164.50","44,934,977.44"
影响营业利润的其他科目,,,,,,,,,,
少数股东损益,,"-153,780.73","-223,744.88","-359,003.19","-181,930.32","246,094.09","-99,852.73","-35,665.46","-14,765.20","1,230,798.09"
