科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"272,440,007.65","300,893,019.79","351,112,922.27","68,382,277.85","149,472,617.75","249,118,094.42","427,445,898.90","98,601,075.22"
二、营业利润,"33,868,301.39","35,978,778.92","40,173,295.95","5,852,523.04","15,053,767.28","22,461,286.24","41,876,008.37","7,905,601.82"
减:营业成本,"189,168,872.33","211,745,514.47","255,154,668.95","49,580,192.08","111,054,709.34","189,708,664.90","330,469,870.27","75,956,745.64"
加:补贴收入,,,,,,,,
营业税金及附加,"1,350,358.97","1,879,796.40","1,942,492.76","206,766.81","860,043.35","1,173,235.85","2,412,721.08","241,846.14"
营业外收入,"694,891.52","2,481,840.33","3,656,600.40","817,943.00","800,000.00","1,800,000.00","3,070,041.92","27,587.00"
销售费用,"11,179,789.52","13,160,170.00","14,537,329.08","3,504,507.25","6,451,519.50","10,756,653.79","15,785,615.20","5,042,150.76"
减:营业外支出,"162,800.00","50,050.25","52,142.50",,,"90,000.00","90,000.00","74,019.01"
管理费用,"29,799,620.27","31,408,009.11","31,703,956.21","7,866,776.61","14,939,731.81","23,783,743.10","38,204,019.13","8,302,474.13"
其中:非流动资产处置净损失,,,"42,972.50",,,,,
堪探费用,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,
财务费用,"8,555,185.78","6,753,206.19","7,854,600.55","1,371,512.06","1,541,657.50","2,112,030.13","3,278,769.27","1,304,776.73"
三、利润总额,"34,400,392.91","38,410,569.00","43,777,753.85","6,670,466.04","15,853,767.28","24,171,286.24","44,856,050.29","7,859,169.81"
资产减值损失,"-1,482,120.61","-20,986.81","-253,421.23",,"417,603.50","5,560.83","31,853.86",
减:所得税,"4,318,921.29","4,748,401.75","6,322,963.37","1,000,569.91","2,410,886.64","3,672,014.48","6,898,722.78","1,178,875.47"
加:公允价值变动净收益,,,,,,,,
加:影响净利润的其他科目,,,,,,,,
投资收益,,"11,468.49",,,,,,
四、净利润,"30,081,471.62","33,662,167.25","37,454,790.48","5,669,896.13","13,442,880.64","20,499,271.76","37,957,327.51","6,680,294.34"
其中:对联营企业和合营企业的投资权益,,,,,,,,
归属于母公司所有者的净利润,"30,081,471.62","33,662,167.25","37,454,790.48","5,669,896.13","13,442,880.64","20,499,271.76","37,957,327.51","6,680,294.34"
影响营业利润的其他科目,,,,,,,,
少数股东损益,,,,,,,,
