科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,361,207,466.00","1,702,238,794.00","1,893,685,036.00","896,918,411.00",,"1,830,745,894.00","426,754,811.00","822,740,398.00","1,235,839,081.00","1,716,339,376.00","465,981,702.00","942,901,775.00","1,383,403,068.00"
取得子公司及其他营业单位支付的现金净额,,"8,034.00",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"7,500,000.00",,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,025,592.00","7,695,943.00","5,723,851.00","5,419,999.00",,"16,503,497.00","1,774,784.00","9,867,476.00","22,586,749.00","24,447,802.00","2,297,453.00","17,880,474.00","24,799,513.00"
投资活动现金流出小计,"59,816,834.00","131,473,831.00","115,399,184.00","169,918,215.00",,"457,333,484.00","97,794,572.00","772,667,429.00","1,116,466,649.00","1,727,000,216.00","162,621,993.00","581,346,118.00","1,014,902,671.00"
经营活动现金流入小计,"1,368,233,058.00","1,709,934,737.00","1,899,408,887.00","902,338,410.00",,"1,847,249,391.00","428,529,595.00","832,607,874.00","1,258,425,830.00","1,740,787,178.00","468,279,155.00","960,782,249.00","1,408,202,581.00"
投资活动产生的现金流量净额,"-59,788,546.00","-129,227,967.00","-64,095,021.00","-34,380,762.00","-55,655,900.00","-107,774,910.00","32,466,428.00","-331,627,661.00","-386,037,088.00","-401,687,472.00","-72,449,915.00","-164,224,843.00","-193,059,963.00"
购买商品、接受劳务支付的现金,"567,853,487.00","758,152,132.00","691,140,347.00","298,278,838.00",,"722,888,031.00","153,997,952.00","270,328,465.00","416,774,188.00","646,370,037.00","128,443,875.00","276,804,001.00","456,423,820.00"
吸收投资收到的现金,,,,,,,"649,700,000.00","649,700,000.00","649,700,000.00","649,700,000.00",,,"28,504,700.00"
支付给职工以及为职工支付的现金,"388,804,296.00","462,991,388.00","526,354,980.00","292,674,776.00",,"578,286,975.00","141,794,770.00","263,121,530.00","419,148,830.00","524,868,496.00","136,906,283.00","272,343,542.00","390,069,327.00"
取得借款收到的现金,"264,901,369.00","379,100,079.00","381,746,138.00","252,000,000.00",,"513,000,000.00","48,000,000.00","68,000,000.00","68,000,000.00","88,000,000.00",,,
支付的各项税费,"191,677,098.00","180,031,313.00","238,664,313.00","142,775,040.00",,"242,682,201.00","60,405,249.00","116,057,084.00","164,420,422.00","213,085,515.00","65,707,933.00","132,872,148.00","196,705,776.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"157,004,168.00","199,728,740.00","206,987,998.00","112,596,332.00",,"158,740,961.00","53,298,191.00","91,906,649.00","97,805,395.00","144,021,883.00","65,787,057.00","101,160,425.00","169,126,857.00"
筹资活动现金流入小计,"264,901,369.00","379,100,079.00","381,746,138.00","252,000,000.00",,"513,000,000.00","697,700,000.00","717,700,000.00","717,700,000.00","737,700,000.00",,,"28,504,700.00"
经营活动现金流出小计,"1,305,339,049.00","1,600,903,573.00","1,663,147,638.00","846,324,986.00",,"1,702,598,168.00","409,496,162.00","741,413,728.00","1,098,148,835.00","1,528,345,931.00","396,845,148.00","783,180,116.00","1,212,325,780.00"
偿还债务支付的现金,"178,354,499.00","285,567,932.00","449,835,763.00","276,870,281.00",,"517,949,281.00","109,312,419.00","279,912,833.00","279,912,833.00","349,912,833.00",,,
经营活动产生的现金流量净额,"62,894,009.00","109,031,164.00","236,261,249.00","56,013,424.00","64,323,000.00","144,651,223.00","19,033,433.00","91,194,146.00","160,276,995.00","212,441,247.00","71,434,007.00","177,602,133.00","195,876,801.00"
分配股利、利润或偿还利息支付的现金,"89,174,589.00","45,430,665.00","42,864,939.00","40,609,274.00",,"47,728,581.00","2,196,971.00","74,988,468.00","75,544,302.00","76,499,054.00",,"98,000,000.00","98,000,000.00"
