科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"635,645,500.78","652,491,719.77","698,555,250.62","470,144,660.04","704,565,585.26","114,772,306.36","300,856,038.51","443,158,752.00","680,027,610.68","108,301,641.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"35,646.25",,"245,000,000.00",,
收到其他与经营活动有关的现金,"9,671,420.66","5,365,367.93","7,103,971.68","4,459,805.24","6,616,897.59","498,661.08","2,298,427.58","5,812,020.47","5,353,252.37","13,472,596.65"
投资活动现金流出小计,"37,885,694.33","50,602,095.66","35,318,081.16","19,318,738.23","29,015,879.94","9,249,523.51","22,605,007.30","355,763,241.00","383,522,970.97","115,861,913.42"
经营活动现金流入小计,"645,316,921.44","657,857,087.70","705,659,222.30","474,604,465.28","711,182,482.85","115,270,967.44","303,154,466.09","448,970,772.47","685,380,863.05","121,774,238.54"
投资活动产生的现金流量净额,"-37,385,775.91","-49,901,999.99","-34,659,169.26","-18,771,980.73","-28,140,888.58","-8,353,591.68","-20,792,673.40","-353,302,474.74","-228,877,461.45","-49,208,451.62"
购买商品、接受劳务支付的现金,"217,280,091.97","212,977,857.79","241,586,069.57","177,393,960.35","229,830,150.04","58,668,165.57","119,820,423.40","176,570,010.45","255,355,473.35","68,642,706.78"
吸收投资收到的现金,,,,,"398,068,050.80",,,,,"1,544,070.00"
支付给职工以及为职工支付的现金,"117,207,370.33","145,379,955.31","152,680,774.34","112,309,577.08","153,357,905.13","36,731,361.60","76,779,866.07","113,649,885.51","164,521,932.48","43,852,098.44"
取得借款收到的现金,"35,000,000.00","35,000,000.00","50,000,000.00","30,000,000.00","30,000,000.00",,,,,
支付的各项税费,"91,243,988.71","95,732,242.23","108,565,891.12","55,247,543.56","79,707,806.43","21,993,920.06","37,933,838.10","59,730,095.25","75,302,016.78","42,801,762.94"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"112,940,305.76","130,959,074.17","131,742,255.09","82,217,175.84","119,694,027.69","34,037,022.20","65,942,950.08","108,852,251.91","151,106,467.41","51,367,964.76"
筹资活动现金流入小计,"35,000,000.00","35,000,000.00","50,000,000.00","30,000,000.00","428,068,050.80",,,,,"1,544,070.00"
经营活动现金流出小计,"538,671,756.77","585,049,129.49","634,574,990.12","427,168,256.83","582,589,889.29","151,430,469.43","300,477,077.65","458,802,243.12","646,285,890.02","206,664,532.92"
偿还债务支付的现金,"50,000,000.00","20,000,000.00","55,000,000.00","35,000,000.00","60,000,000.00",,,,,
经营活动产生的现金流量净额,"106,645,164.67","72,807,958.21","71,084,232.18","47,436,208.45","128,592,593.56","-36,159,501.99","2,677,388.44","-9,831,470.65","39,094,973.03","-84,890,294.38"
分配股利、利润或偿还利息支付的现金,"7,217,701.70","39,298,282.60","31,194,952.48","21,440,701.01","21,674,785.40","396,000.00","24,481,600.00","24,481,600.00","24,481,600.00","396,000.00"
收回投资收到的现金,,,,,,,,,"150,000,000.00","65,000,000.00"
支付其他与筹资活动有关的现金,,,,,"2,967,960.00","7,522,040.00","8,722,040.00","8,722,040.00","8,722,040.00",
取得投资收益收到的现金,,,,,,,,,"1,920,812.88","1,395,103.38"
筹资活动现金流出小计,"57,217,701.70","59,298,282.60","86,194,952.48","56,440,701.01","84,642,745.40","7,918,040.00","33,203,640.00","33,203,640.00","33,203,640.00","396,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"15,727.35","30,490.29","11,766.99","25,216.91","67,961.17","123,398.06","123,398.06","185,685.95",
筹资活动产生的现金流量净额,"-22,217,701.70","-24,298,282.60","-36,194,952.48","-26,440,701.01","343,425,305.40","-7,918,040.00","-33,203,640.00","-33,203,640.00","-33,203,640.00","1,148,070.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"50,240.92","-141,870.70","20,161.59","96,937.79","134,634.37","-75,771.32","-236,080.21","181,512.90","28,165.76","256,599.10"
收到其他与投资活动有关的现金,"499,918.42","684,368.32","628,421.61","534,990.51","849,774.45","827,970.66","1,688,935.84","2,337,368.20","2,539,010.69","258,358.42"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"499,918.42","700,095.67","658,911.90","546,757.50","874,991.36","895,931.83","1,812,333.90","2,460,766.26","154,645,509.52","66,653,461.80"
五、现金及现金等价物净增加额,"47,091,927.98","-1,534,195.08","250,272.03","2,320,464.50","444,011,644.75","-52,506,904.99","-51,555,005.17","-396,156,072.49","-222,957,962.66","-132,694,076.90"
购建固定资产、无形资产和其他长期资产支付的现金,"37,885,694.33","50,602,095.66","35,318,081.16","19,318,738.23","29,015,879.94","9,213,877.26","22,605,007.30","110,763,241.00","138,522,970.97","20,861,913.42"
期初现金及现金等价物余额,"66,274,621.34","113,366,549.32","111,832,354.24","112,082,626.27","112,082,626.27","556,094,271.02","556,094,271.02","556,094,271.02","556,094,271.02","327,702,364.13"
投资支付的现金,,,,,,,,,"245,000,000.00","95,000,000.00"
期末现金及现金等价物余额,"113,366,549.32","111,832,354.24","112,082,626.27","114,403,090.77","556,094,271.02","503,587,366.03","504,539,265.85","159,938,198.53","333,136,308.36","195,008,287.23"
