科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,059,245,000.00","2,278,312,000.00","2,396,607,000.00","593,619,000.00","1,227,629,835.01","1,903,274,010.00","2,521,649,000.00","673,934,000.00","1,385,532,000.00","2,140,116,000.00"
提取保险责任准备金,,,,,,,,,,
利息净收入,"1,959,509,000.00","2,117,806,000.00","2,163,419,000.00","545,045,000.00","1,102,252,090.36","1,710,587,180.00","2,314,319,000.00","599,564,000.00","1,242,281,000.00","1,959,385,000.00"
减：摊回保险责任准备金,,,,,,,,,,
利息收入,"4,047,729,000.00","4,662,599,000.00","5,066,224,000.00","1,214,449,000.00","2,400,847,022.74","3,628,813,360.00","4,872,002,000.00","1,275,128,000.00","2,641,772,000.00","4,072,197,000.00"
保单红利支出,,,,,,,,,,
利息支出,"2,088,220,000.00","2,544,794,000.00","2,902,805,000.00","669,404,000.00","1,298,594,932.38","1,918,226,180.00","2,557,683,000.00","675,564,000.00","1,399,491,000.00","2,112,812,000.00"
分保费用,,,,,,,,,,
手续费及佣金净收入,"93,813,000.00","108,350,000.00","160,343,000.00","44,769,000.00","90,520,674.09","134,981,010.00","179,756,000.00","55,248,000.00","119,215,000.00","145,674,000.00"
营业税金及附加,"103,893,000.00","130,144,000.00","143,576,000.00","33,983,000.00","50,524,407.01","54,380,660.00","63,388,000.00","6,297,000.00","12,571,000.00","22,287,000.00"
手续费及佣金收入,"107,039,000.00","137,851,000.00","184,166,000.00","50,519,000.00","107,459,349.23","157,920,940.00","214,491,000.00","62,323,000.00","133,086,000.00","169,165,000.00"
手续费及佣金支出2,,,,,,,,,,
手续费及佣金支出,"13,226,000.00","29,502,000.00","23,823,000.00","5,750,000.00","16,938,675.14","22,939,930.00","34,735,000.00","7,075,000.00","13,871,000.00","23,491,000.00"
业务及管理费,"603,441,000.00","702,844,000.00","772,734,000.00","187,697,000.00","386,288,869.64","587,940,070.00","816,907,000.00","196,712,000.00","402,106,000.00","608,467,000.00"
其中：代理买卖证券业务净收入,,,,,,,,,,
减：摊回分保费用,,,,,,,,,,
证券承销业务净收入,,,,,,,,,,
资产减值损失,"188,398,000.00","337,090,000.00","380,594,000.00","109,165,000.00","204,417,866.14","370,704,440.00","543,733,000.00","171,036,000.00","319,502,000.00","545,391,000.00"
委托客户管理资产业务净收入,,,,,,,,,,
其他业务成本,"1,998,000.00","1,916,000.00","1,572,000.00","393,000.00","786,193.86","1,179,290.00","1,572,000.00","393,000.00","786,000.00","1,179,000.00"
已赚保费,,,,,,,,,,
