科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"190,401,694.46","263,940,603.30","383,497,278.38","129,493,700.00","205,481,848.95","320,411,281.95","479,520,220.22","182,676,753.05","265,275,763.83","416,039,159.53","585,018,459.38","168,296,582.54","319,753,062.98","514,001,105.82","739,792,782.58","267,161,661.05"
二、营业利润,"60,429,991.97","51,015,991.09","84,162,548.83","44,616,200.00","35,498,103.46","63,476,159.48","104,422,039.81","86,427,803.04","72,431,862.80","115,171,209.71","153,534,656.32","43,007,043.09","54,895,604.78","93,876,029.88","138,697,979.04","89,610,090.70"
减:营业成本,"99,701,739.39","172,706,551.11","237,804,383.37",,"130,197,861.01","197,118,131.74","282,059,916.07","81,390,736.02","160,285,987.02","249,769,183.56","356,114,818.27","106,185,476.04","224,563,521.95","358,925,674.19","505,869,063.59","152,798,488.12"
加:补贴收入,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,"1,631,486.48","924,255.10","1,781,203.06","2,327,728.69","3,405,307.71","694,050.24"
营业外收入,"3,623,465.62","4,245,668.86","6,825,699.85",,"3,258,354.76","3,656,638.08","10,796,504.17","1,823,470.93","4,077,031.62","7,127,528.07","8,970,583.05","7,724,352.35","10,022,502.78","12,358,370.69","5,140,987.52","124,420.67"
销售费用,"16,729,669.14","24,773,222.41","33,746,287.58",,"17,378,573.21","25,224,561.87","43,327,685.98","10,573,191.85","21,150,710.38","35,103,945.76","51,514,309.62","19,078,501.26","38,202,512.87","60,556,588.39","93,557,255.42","30,133,399.88"
减:营业外支出,"65,000.00","560,404.94","181,499.56",,,"57,133.48","211,522.38",828.69,"231,560.93","565,549.93","1,166,724.94","1,431.91","1,001,440.01","1,038,264.75","1,060,908.96","200,886.51"
管理费用,"11,934,464.65","13,869,417.28","21,264,012.04",,"15,509,472.27","25,879,191.70","41,310,348.73","5,428,097.00","13,913,909.68","22,766,438.60","40,812,939.46","8,605,504.77","20,542,938.90","30,777,745.63","47,050,445.91","9,984,416.73"
其中:非流动资产处置净损失,,,,,,,"4,764.29",828.69,"122,260.93","456,249.93","456,249.93",,,,,
堪探费用,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,
财务费用,"1,575,203.07","1,239,596.76","6,883,911.13",,"6,742,063.07","8,548,579.41","10,229,778.24","454,455.74","1,068,062.87","-257,296.40","-4,013,391.76","-904,734.10","-1,438,280.58","-2,820,148.41","-5,784,050.84","-3,692,930.13"
三、利润总额,"63,988,457.59","54,701,255.01","90,806,749.12","46,609,700.00","38,756,458.22","67,075,664.08","115,007,021.60","88,250,445.28","76,277,333.49","121,733,187.85","161,338,514.43","50,729,963.53","63,916,667.55","105,196,135.82","142,778,057.60","89,533,624.86"
资产减值损失,"44,626.24","342,085.49","-363,864.57",,"155,775.93","-95,220.39","451,540.98","259,132.42","258,806.51","63,320.86","175,434.01","293,311.72","310,868.50","-6,444.41","1,487,076.17","-94,158.98"
减:所得税,,,,,,,,,,,,,,,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,
投资收益,"14,000.00","6,260.84",,,,"-259,878.14","2,281,089.59","1,856,663.02","3,833,575.43","6,577,642.56","14,751,793.02","8,892,775.34","19,105,306.50","29,636,068.14","34,740,281.41","10,113,808.22"
四、净利润,"63,988,457.59","54,701,255.01","90,806,749.12","46,609,700.00","38,756,458.22","67,075,664.08","115,007,021.60","88,250,445.28","76,277,333.49","121,733,187.85","161,338,514.43","50,729,963.53","63,916,667.55","105,196,135.82","142,778,057.60","89,533,624.86"
其中:对联营企业和合营企业的投资权益,,,,,,"-259,878.14","-401,882.61",,"-122,795.80","-122,795.80","-339,319.32",,"-693,972.24","-693,972.24","-2,105,109.65",
归属于母公司所有者的净利润,"63,991,714.06","54,750,394.38","90,880,528.13","46,628,000.00","38,792,908.59","67,134,093.10","114,381,357.82","86,306,592.55","75,139,336.82","119,668,068.38","158,510,283.39","50,237,089.24","63,843,351.06","104,920,179.34","142,273,052.24","88,248,093.13"
影响营业利润的其他科目,,,,,,,,,,,,,,,,
少数股东损益,"-3,256.47","-49,139.37","-73,779.01",,"-36,450.37","-58,429.02","625,663.78","1,943,852.73","1,137,996.67","2,065,119.47","2,828,231.04","492,874.29","73,316.49","275,956.48","505,005.36","1,285,531.73"
